Time (BJD_TBD - 2450000), F_e/F_star (ppm)
9.891663602639373494e+03,5.085506045931656871e+01
9.891663625531708021e+03,5.085320708604827900e+01
9.891663648424044368e+03,5.085135373226663802e+01
9.891663671316378895e+03,5.084950039826711787e+01
9.891663694208715242e+03,5.084764708375629993e+01
9.891663717101051589e+03,5.084579378888239631e+01
9.891663739993386116e+03,5.084394051379377544e+01
9.891663762885722463e+03,5.084208725819689079e+01
9.891663785778056990e+03,5.084023402238732814e+01
9.891663808670393337e+03,5.083838080607154097e+01
9.891663831562727864e+03,5.083652760954519323e+01
9.891663854455064211e+03,5.083467443251465312e+01
9.891663877347398738e+03,5.083282127527559169e+01
9.891663900239735085e+03,5.083096813753444820e+01
9.891663923132071432e+03,5.082911501943958399e+01
9.891663946024405959e+03,5.082726192113918273e+01
9.891663968916742306e+03,5.082540884233986844e+01
9.891663991809076833e+03,5.082355578333707768e+01
9.891664014701413180e+03,5.082170274383744157e+01
9.891664037593747707e+03,5.081984972413638246e+01
9.891664060486084054e+03,5.081799672394055278e+01
9.891664083378418582e+03,5.081614374354534647e+01
9.891664106270754928e+03,5.081429078265743726e+01
9.891664129163091275e+03,5.081243784142499464e+01
9.891664152055425802e+03,5.081058491999634441e+01
9.891664174947762149e+03,5.080873201807796846e+01
9.891664197840096676e+03,5.080687913596550942e+01
9.891664220732433023e+03,5.080502627336536392e+01
9.891664243624767551e+03,5.080317343057320301e+01
9.891664266517103897e+03,5.080132060729539489e+01
9.891664289409438425e+03,5.079946780382760352e+01
9.891664312301774771e+03,5.079761501987630368e+01
9.891664335194109299e+03,5.079576225573701720e+01
9.891664358086445645e+03,5.079390951111631125e+01
9.891664380978781992e+03,5.079205678616248321e+01
9.891664403871116519e+03,5.079020408102368123e+01
9.891664426763452866e+03,5.078835139540662880e+01
9.891664449655787394e+03,5.078649872960666301e+01
9.891664472548123740e+03,5.078464608333048602e+01
9.891664495440458268e+03,5.078279345687347046e+01
9.891664518332794614e+03,5.078094084994231139e+01
9.891664541225129142e+03,5.077908826283236721e+01
9.891664564117465488e+03,5.077723569525034719e+01
9.891664587009801835e+03,5.077538314734436398e+01
9.891664609902136363e+03,5.077353061926282152e+01
9.891664632794472709e+03,5.077167811071214487e+01
9.891664655686807237e+03,5.076982562198794113e+01
9.891664678579143583e+03,5.076797315279674905e+01
9.891664701471478111e+03,5.076612070343402650e+01
9.891664724363814457e+03,5.076426827360638327e+01
9.891664747256148985e+03,5.076241586360927727e+01
9.891664770148485331e+03,5.076056347314931827e+01
9.891664793040819859e+03,5.075871110252195706e+01
9.891664815933156206e+03,5.075685875143378212e+01
