Time (BJD_TBD - 2450000), F_h/F_star (ppm)
1.014859006802057957e+04,2.877878532072326934e+01
1.014859008889535289e+04,2.877880386139765889e+01
1.014859010977012622e+04,2.877882240137520853e+01
1.014859013064489773e+04,2.877884094065428755e+01
1.014859015151967105e+04,2.877885947923813958e+01
1.014859017239444438e+04,2.877887801712514104e+01
1.014859019326921589e+04,2.877889655431367544e+01
1.014859021414398921e+04,2.877891509080697574e+01
1.014859023501876254e+04,2.877893362660341836e+01
1.014859025589353405e+04,2.877895216170139747e+01
1.014859027676830738e+04,2.877897069610413538e+01
1.014859029764307888e+04,2.877898922980840624e+01
1.014859031851785221e+04,2.877900776281743234e+01
1.014859033939262554e+04,2.877902629512960075e+01
1.014859036026739705e+04,2.877904482674329856e+01
1.014859038114217037e+04,2.877906335766175161e+01
1.014859040201694370e+04,2.877908188788334698e+01
1.014859042289171521e+04,2.877910041740646463e+01
1.014859044376648853e+04,2.877911894623433753e+01
1.014859046464126186e+04,2.877913747436534919e+01
1.014859048551603337e+04,2.877915600179787958e+01
1.014859050639080669e+04,2.877917452853516167e+01
1.014859052726557820e+04,2.877919305457396248e+01
1.014859054814035153e+04,2.877921157991751500e+01
1.014859056901512486e+04,2.877923010456419561e+01
1.014859058988989636e+04,2.877924862851239851e+01
1.014859061076466969e+04,2.877926715176534600e+01
1.014859063163944302e+04,2.877928567432142870e+01
1.014859065251421453e+04,2.877930419617901947e+01
1.014859067338898785e+04,2.877932271734135483e+01
1.014859069426376118e+04,2.877934123780681830e+01
1.014859071513853269e+04,2.877935975757379339e+01
1.014859073601330601e+04,2.877937827664550952e+01
1.014859075688807752e+04,2.877939679501874082e+01
1.014859077776285085e+04,2.877941531269670605e+01
1.014859079863762418e+04,2.877943382967779229e+01
1.014859081951239568e+04,2.877945234596039015e+01
1.014859084038716901e+04,2.877947086154771839e+01
1.014859086126194234e+04,2.877948937643817473e+01
1.014859088213671384e+04,2.877950789063013204e+01
1.014859090301148717e+04,2.877952640412682328e+01
1.014859092388626050e+04,2.877954491692663197e+01
1.014859094476103201e+04,2.877956342902794518e+01
1.014859096563580533e+04,2.877958194043398521e+01
1.014859098651057684e+04,2.877960045114152621e+01
1.014859100738535017e+04,2.877961896115379758e+01
1.014859102826012349e+04,2.877963747046917931e+01
1.014859104913489500e+04,2.877965597908606554e+01
1.014859107000966833e+04,2.877967448700767150e+01
1.014859109088444166e+04,2.877969299423239136e+01
1.014859111175921316e+04,2.877971150075860507e+01
1.014859113263398649e+04,2.877973000658953850e+01
1.014859115350875982e+04,2.877974851172358228e+01
1.014859117438353132e+04,2.877976701615911992e+01
1.014859119525830465e+04,2.877978551989937728e+01
1.014859121613307616e+04,2.877980402294112849e+01
1.014859123700784949e+04,2.877982252528759233e+01
1.014859125788262281e+04,2.877984102693715940e+01
1.014859127875739432e+04,2.877985952788822033e+01
1.014859129963216765e+04,2.877987802814399387e+01
1.014859132050694097e+04,2.877989652770286710e+01
1.014859134138171248e+04,2.877991502656322709e+01
1.014859136225648581e+04,2.877993352472829969e+01
1.014859138313125732e+04,2.877995202219485549e+01
1.014859140400603064e+04,2.877997051896612390e+01
1.014859142488080397e+04,2.877998901504048490e+01
1.014859144575557548e+04,2.878000751041632910e+01
1.014859146663034880e+04,2.878002600509687881e+01
1.014859148750512213e+04,2.878004449908052464e+01
1.014859150837989364e+04,2.878006299236565368e+01
1.014859152925466697e+04,2.878008148495548113e+01
1.014859155012944029e+04,2.878009997684840471e+01
1.014859157100421180e+04,2.878011846804280083e+01
1.014859159187898513e+04,2.878013695854189891e+01
1.014859161275375664e+04,2.878015544834247308e+01
1.014859163362852996e+04,2.878017393744774566e+01
1.014859165450330329e+04,2.878019242585610371e+01
1.014859167537807480e+04,2.878021091356594141e+01
1.014859169625284812e+04,2.878022940058047041e+01
1.014859171712762145e+04,2.878024788689808133e+01
1.014859173800239296e+04,2.878026637251716480e+01
1.014859175887716628e+04,2.878028485744093956e+01
1.014859177975193961e+04,2.878030334166779625e+01
1.014859180062671112e+04,2.878032182519612192e+01
1.014859182150148445e+04,2.878034030802913534e+01
1.014859184237625595e+04,2.878035879016361775e+01
1.014859186325102928e+04,2.878037727160279147e+01
1.014859188412580261e+04,2.878039575234503999e+01
1.014859190500057412e+04,2.878041423238875041e+01
1.014859192587534744e+04,2.878043271173714501e+01
1.014859194675012077e+04,2.878045119038861444e+01
1.014859196762489228e+04,2.878046966834154574e+01
1.014859198849966560e+04,2.878048814559916124e+01
1.014859200937443893e+04,2.878050662215984090e+01
1.014859203024921044e+04,2.878052509802198955e+01
1.014859205112398377e+04,2.878054357318881173e+01
1.014859207199875527e+04,2.878056204765709225e+01
1.014859209287352860e+04,2.878058052143005341e+01
1.014859211374830193e+04,2.878059899450607872e+01
1.014859213462307343e+04,2.878061746688355527e+01
1.014859215549784676e+04,2.878063593856571245e+01
1.014859217637262009e+04,2.878065440955093024e+01
1.014859219724739160e+04,2.878067287983759925e+01
1.014859221812216492e+04,2.878069134942894181e+01
1.014859223899693825e+04,2.878070981832334851e+01
1.014859225987170976e+04,2.878072828651919934e+01
1.014859228074648308e+04,2.878074675401972016e+01
1.014859230162125459e+04,2.878076522082169220e+01
1.014859232249602792e+04,2.878078368692832711e+01
1.014859234337080125e+04,2.878080215233802264e+01
1.014859236424557275e+04,2.878082061704916228e+01
1.014859238512034608e+04,2.878083908106496480e+01
1.014859240599511941e+04,2.878085754438382438e+01
1.014859242686989091e+04,2.878087600700412452e+01
1.014859244774466424e+04,2.878089446892908398e+01
1.014859246861943575e+04,2.878091293015549113e+01
1.014859248949420908e+04,2.878093139068655404e+01
1.014859251036898240e+04,2.878094985052066335e+01
1.014859253124375391e+04,2.878096830965621677e+01
1.014859255211852724e+04,2.878098676809642598e+01
1.014859257299330056e+04,2.878100522583967802e+01
1.014859259386807207e+04,2.878102368288437063e+01
1.014859261474284540e+04,2.878104213923371546e+01
1.014859263561761873e+04,2.878106059488609958e+01
1.014859265649239023e+04,2.878107904983992071e+01
1.014859267736716356e+04,2.878109750409839407e+01
1.014859269824193507e+04,2.878111595765830089e+01
1.014859271911670839e+04,2.878113441052285282e+01
1.014859273999148172e+04,2.878115286269044759e+01
1.014859276086625323e+04,2.878117131415946872e+01
1.014859278174102656e+04,2.878118976493313497e+01
1.014859280261579988e+04,2.878120821500983695e+01
1.014859282349057139e+04,2.878122666438797239e+01
1.014859284436534472e+04,2.878124511307074584e+01
1.014859286524011804e+04,2.878126356105655503e+01
1.014859288611488955e+04,2.878128200834378703e+01
1.014859290698966288e+04,2.878130045493566058e+01
1.014859292786443439e+04,2.878131890082896049e+01
1.014859294873920771e+04,2.878133734602689486e+01
1.014859296961398104e+04,2.878135579052785786e+01
1.014859299048875255e+04,2.878137423433024367e+01
1.014859301136352587e+04,2.878139267743726393e+01
1.014859303223829920e+04,2.878141111984730927e+01
1.014859305311307071e+04,2.878142956155877386e+01
1.014859307398784404e+04,2.878144800257487290e+01
1.014859309486261736e+04,2.878146644289398992e+01
1.014859311573738887e+04,2.878148488251452619e+01
1.014859313661216220e+04,2.878150332143969692e+01
1.014859315748693371e+04,2.878152175966627624e+01
1.014859317836170703e+04,2.878154019719748291e+01
1.014859319923648036e+04,2.878155863403170756e+01
1.014859322011125187e+04,2.878157707016734435e+01
1.014859324098602519e+04,2.878159550560760849e+01
1.014859326186079852e+04,2.878161394035088705e+01
1.014859328273557003e+04,2.878163237439557776e+01
1.014859330361034336e+04,2.878165080774488516e+01
1.014859332448511668e+04,2.878166924039720698e+01
1.014859334535988819e+04,2.878168767235093739e+01
1.014859336623466152e+04,2.878170610360928805e+01
1.014859338710943302e+04,2.878172453416904375e+01
1.014859340798420635e+04,2.878174296403341259e+01
1.014859342885897968e+04,2.878176139320078875e+01
1.014859344973375119e+04,2.878177982166957705e+01
1.014859347060852451e+04,2.878179824944297138e+01
1.014859349148329784e+04,2.878181667651937303e+01
1.014859351235806935e+04,2.878183510289717972e+01
1.014859353323284267e+04,2.878185352857959245e+01
1.014859355410761600e+04,2.878187195356500894e+01
1.014859357498238751e+04,2.878189037785182336e+01
1.014859359585716084e+04,2.878190880144324737e+01
1.014859361673193234e+04,2.878192722433606576e+01
1.014859363760670567e+04,2.878194564653349019e+01
1.014859365848147900e+04,2.878196406803391483e+01
1.014859367935625050e+04,2.878198248883573029e+01
1.014859370023102383e+04,2.878200090894215535e+01
1.014859372110579716e+04,2.878201932835156995e+01
1.014859374198056867e+04,2.878203774706237894e+01
1.014859376285534199e+04,2.878205616507779041e+01
1.014859378373011350e+04,2.878207458239458560e+01
1.014859380460488683e+04,2.878209299901597973e+01
1.014859382547966015e+04,2.878211141494037051e+01
1.014859384635443166e+04,2.878212983016614857e+01
1.014859386722920499e+04,2.878214824469651489e+01
1.014859388810397832e+04,2.878216665852987788e+01
1.014859390897874982e+04,2.878218507166462103e+01
1.014859392985352315e+04,2.878220348410395957e+01
1.014859395072829648e+04,2.878222189584628055e+01
1.014859397160306798e+04,2.878224030688998880e+01
1.014859399247784131e+04,2.878225871723828178e+01
1.014859401335261282e+04,2.878227712688795847e+01
1.014859403422738615e+04,2.878229553584222344e+01
1.014859405510215947e+04,2.878231394409946375e+01
1.014859407597693098e+04,2.878233235165809134e+01
1.014859409685170431e+04,2.878235075852129654e+01
1.014859411772647763e+04,2.878236916468748419e+01
1.014859413860124914e+04,2.878238757015504490e+01
1.014859415947602247e+04,2.878240597492719033e+01
1.014859418035079580e+04,2.878242437900231110e+01
1.014859420122556730e+04,2.878244278237880494e+01
1.014859422210034063e+04,2.878246118505987994e+01
1.014859424297511214e+04,2.878247958704232090e+01
1.014859426384988546e+04,2.878249798832934303e+01
1.014859428472465879e+04,2.878251638891932984e+01
1.014859430559943030e+04,2.878253478881069327e+01
1.014859432647420363e+04,2.878255318800663076e+01
1.014859434734897695e+04,2.878257158650553649e+01
1.014859436822374846e+04,2.878258998430580817e+01
1.014859438909852179e+04,2.878260838141064681e+01
1.014859440997329511e+04,2.878262677781846079e+01
1.014859443084806662e+04,2.878264517352763363e+01
1.014859445172283995e+04,2.878266356854137342e+01
1.014859447259761146e+04,2.878268196285647917e+01
1.014859449347238478e+04,2.878270035647614478e+01
1.014859451434715811e+04,2.878271874939877506e+01
1.014859453522192962e+04,2.878273714162276775e+01
1.014859455609670295e+04,2.878275553315132385e+01
1.014859457697147627e+04,2.878277392398283752e+01
1.014859459784624778e+04,2.878279231411571004e+01
1.014859461872102111e+04,2.878281070355314242e+01
1.014859463959579443e+04,2.878282909229353237e+01
1.014859466047056594e+04,2.878284748033527407e+01
1.014859468134533927e+04,2.878286586768157207e+01
1.014859470222011078e+04,2.878288425432922892e+01
1.014859472309488410e+04,2.878290264028143852e+01
1.014859474396965743e+04,2.878292102553660214e+01
1.014859476484442894e+04,2.878293941009311396e+01
1.014859478571920226e+04,2.878295779395417853e+01
1.014859480659397559e+04,2.878297617711819356e+01
1.014859482746874710e+04,2.878299455958356035e+01
1.014859484834352043e+04,2.878301294135346922e+01
1.014859486921829193e+04,2.878303132242472984e+01
1.014859489009306526e+04,2.878304970280053610e+01
1.014859491096783859e+04,2.878306808247928927e+01
1.014859493184261009e+04,2.878308646145938354e+01
1.014859495271738342e+04,2.878310483974402345e+01
1.014859497359215675e+04,2.878312321733160672e+01
1.014859499446692826e+04,2.878314159422053109e+01
1.014859501534170158e+04,2.878315997041400109e+01
1.014859503621647491e+04,2.878317834591041091e+01
1.014859505709124642e+04,2.878319672070815116e+01
1.014859507796601974e+04,2.878321509481044060e+01
1.014859509884079125e+04,2.878323346821406048e+01
1.014859511971556458e+04,2.878325184092221889e+01
1.014859514059033791e+04,2.878327021293331711e+01
1.014859516146510941e+04,2.878328858424574577e+01
1.014859518233988274e+04,2.878330695486271296e+01
1.014859520321465607e+04,2.878332532478260930e+01
1.014859522408942757e+04,2.878334369400383608e+01
1.014859524496420090e+04,2.878336206252959784e+01
1.014859526583897423e+04,2.878338043035828520e+01
1.014859528671374574e+04,2.878339879748831009e+01
1.014859530758851906e+04,2.878341716392285576e+01
1.014859532846329057e+04,2.878343552965873187e+01
1.014859534933806390e+04,2.878345389469913229e+01
1.014859537021283722e+04,2.878347225904246542e+01
1.014859539108760873e+04,2.878349062268712188e+01
1.014859541196238206e+04,2.878350898563629912e+01
1.014859543283715539e+04,2.878352734788840195e+01
1.014859545371192689e+04,2.878354570944182100e+01
1.014859547458670022e+04,2.878356407029976793e+01
1.014859549546147355e+04,2.878358243046063691e+01
1.014859551633624505e+04,2.878360078992282212e+01
1.014859553721101838e+04,2.878361914868952454e+01
1.014859555808578989e+04,2.878363750675754673e+01
1.014859557896056322e+04,2.878365586413008259e+01
1.014859559983533654e+04,2.878367422080554050e+01
1.014859562071010805e+04,2.878369257678231463e+01
1.014859564158488138e+04,2.878371093206359532e+01
1.014859566245965470e+04,2.878372928664779451e+01
1.014859568333442621e+04,2.878374764053330281e+01
1.014859570420919954e+04,2.878376599372332834e+01
1.014859572508397287e+04,2.878378434621625814e+01
1.014859574595874437e+04,2.878380269801050062e+01
1.014859576683351770e+04,2.878382104910925321e+01
1.014859578770828921e+04,2.878383939950931136e+01
1.014859580858306254e+04,2.878385774921387608e+01
1.014859582945783586e+04,2.878387609822134863e+01
1.014859585033260737e+04,2.878389444653013030e+01
1.014859587120738070e+04,2.878391279414340787e+01
1.014859589208215402e+04,2.878393114105959683e+01
1.014859591295692553e+04,2.878394948727708424e+01
1.014859593383169886e+04,2.878396783279907467e+01
1.014859595470647218e+04,2.878398617762396583e+01
1.014859597558124369e+04,2.878400452175015545e+01
1.014859599645601702e+04,2.878402286518084807e+01
1.014859601733078853e+04,2.878404120791283205e+01
1.014859603820556185e+04,2.878405954994931903e+01
1.014859605908033518e+04,2.878407789128869965e+01
1.014859607995510669e+04,2.878409623192937872e+01
1.014859610082988002e+04,2.878411457187454658e+01
1.014859612170465334e+04,2.878413291112261518e+01
1.014859614257942485e+04,2.878415124967197158e+01
1.014859616345419818e+04,2.878416958752582033e+01
1.014859618432896968e+04,2.878418792468096399e+01
1.014859620520374301e+04,2.878420626114059289e+01
1.014859622607851634e+04,2.878422459690310831e+01
1.014859624695328785e+04,2.878424293196691863e+01
1.014859626782806117e+04,2.878426126633521775e+01
1.014859628870283450e+04,2.878427960000639629e+01
1.014859630957760601e+04,2.878429793297886619e+01
1.014859633045237933e+04,2.878431626525581422e+01
1.014859635132715266e+04,2.878433459683564877e+01
1.014859637220192417e+04,2.878435292771677467e+01
1.014859639307669750e+04,2.878437125790237516e+01
1.014859641395146900e+04,2.878438958738925635e+01
1.014859643482624233e+04,2.878440791618061567e+01
1.014859645570101566e+04,2.878442624427485796e+01
1.014859647657578716e+04,2.878444457167038095e+01
1.014859649745056049e+04,2.878446289837037497e+01
1.014859651832533382e+04,2.878448122437324841e+01
1.014859653920010533e+04,2.878449954967740254e+01
1.014859656007487865e+04,2.878451787428602415e+01
1.014859658094965198e+04,2.878453619819752163e+01
1.014859660182442349e+04,2.878455452141029625e+01
1.014859662269919681e+04,2.878457284392753834e+01
1.014859664357396832e+04,2.878459116574605403e+01
1.014859666444874165e+04,2.878460948686904075e+01
1.014859668532351498e+04,2.878462780729489268e+01
1.014859670619828648e+04,2.878464612702201819e+01
1.014859672707305981e+04,2.878466444605360763e+01
1.014859674794783314e+04,2.878468276438806583e+01
1.014859676882260464e+04,2.878470108202379052e+01
1.014859678969737797e+04,2.878471939896397913e+01
1.014859681057215130e+04,2.878473771520702940e+01
1.014859683144692281e+04,2.878475603075135325e+01
1.014859685232169613e+04,2.878477434560012682e+01
1.014859687319646764e+04,2.878479265975016688e+01
1.014859689407124097e+04,2.878481097320466731e+01
1.014859691494601429e+04,2.878482928596202584e+01
1.014859693582078580e+04,2.878484759802064730e+01
1.014859695669555913e+04,2.878486590938372203e+01
1.014859697757033246e+04,2.878488422004965130e+01
1.014859699844510396e+04,2.878490253001684707e+01
1.014859701931987729e+04,2.878492083928848899e+01
1.014859704019465062e+04,2.878493914786298902e+01
1.014859706106942213e+04,2.878495745573874132e+01
1.014859708194419545e+04,2.878497576291894333e+01
1.014859710281896696e+04,2.878499406940040117e+01
1.014859712369374029e+04,2.878501237518630873e+01
1.014859714456851361e+04,2.878503068027506373e+01
1.014859716544328512e+04,2.878504898466507811e+01
1.014859718631805845e+04,2.878506728835952444e+01
1.014859720719283177e+04,2.878508559135682887e+01
1.014859722806760328e+04,2.878510389365537492e+01
1.014859724894237661e+04,2.878512219525836713e+01
1.014859726981714812e+04,2.878514049616260806e+01
1.014859729069192144e+04,2.878515879637128450e+01
1.014859731156669477e+04,2.878517709588280837e+01
1.014859733244146628e+04,2.878519539469557387e+01
1.014859735331623961e+04,2.878521369281277842e+01
1.014859737419101293e+04,2.878523199023282331e+01
1.014859739506578444e+04,2.878525028695411336e+01
1.014859741594055777e+04,2.878526858297982827e+01
1.014859743681533109e+04,2.878528687830839061e+01
1.014859745769010260e+04,2.878530517293818747e+01
1.014859747856487593e+04,2.878532346687241983e+01
1.014859749943964744e+04,2.878534176010788670e+01
1.014859752031442076e+04,2.878536005264778552e+01
1.014859754118919409e+04,2.878537834449052113e+01
1.014859756206396560e+04,2.878539663563448769e+01
1.014859758293873892e+04,2.878541492608287911e+01
1.014859760381351225e+04,2.878543321583410375e+01
1.014859762468828376e+04,2.878545150488656290e+01
1.014859764556305709e+04,2.878546979324344690e+01
1.014859766643783041e+04,2.878548808090315703e+01
1.014859768731260192e+04,2.878550636786409811e+01
1.014859770818737525e+04,2.878552465412946049e+01
1.014859772906214675e+04,2.878554293969605027e+01
1.014859774993692008e+04,2.878556122456706134e+01
1.014859777081169341e+04,2.878557950874089499e+01
1.014859779168646492e+04,2.878559779221595250e+01
1.014859781256123824e+04,2.878561607499543129e+01
1.014859783343601157e+04,2.878563435707772911e+01
1.014859785431078308e+04,2.878565263846125077e+01
1.014859787518555640e+04,2.878567091914918308e+01
1.014859789606032973e+04,2.878568919913993440e+01
1.014859791693510124e+04,2.878570747843190958e+01
1.014859793780987457e+04,2.878572575702829539e+01
1.014859795868464607e+04,2.878574403492590150e+01
1.014859797955941940e+04,2.878576231212791470e+01
1.014859800043419273e+04,2.878578058863274336e+01
1.014859802130896423e+04,2.878579886443878522e+01
1.014859804218373756e+04,2.878581713954923771e+01
1.014859806305851089e+04,2.878583541396249856e+01
1.014859808393328240e+04,2.878585368767697261e+01
1.014859810480805572e+04,2.878587196069585374e+01
1.014859812568282905e+04,2.878589023301753969e+01
1.014859814655760056e+04,2.878590850464043882e+01
1.014859816743237388e+04,2.878592677556774149e+01
1.014859818830714539e+04,2.878594504579625024e+01
1.014859820918191872e+04,2.878596331532915897e+01
1.014859823005669205e+04,2.878598158416487252e+01
1.014859825093146355e+04,2.878599985230179570e+01
1.014859827180623688e+04,2.878601811974310820e+01
1.014859829268101021e+04,2.878603638648722551e+01
1.014859831355578171e+04,2.878605465253254891e+01
1.014859833443055504e+04,2.878607291788226874e+01
1.014859835530532655e+04,2.878609118253318400e+01
1.014859837618009988e+04,2.878610944648849568e+01
1.014859839705487320e+04,2.878612770974660506e+01
1.014859841792964471e+04,2.878614597230591343e+01
1.014859843880441804e+04,2.878616423416961112e+01
1.014859845967919136e+04,2.878618249533610296e+01
1.014859848055396287e+04,2.878620075580379023e+01
1.014859850142873620e+04,2.878621901557586327e+01
1.014859852230350953e+04,2.878623727465073046e+01
1.014859854317828103e+04,2.878625553302679307e+01
1.014859856405305436e+04,2.878627379070723435e+01
1.014859858492782587e+04,2.878629204768887817e+01
1.014859860580259920e+04,2.878631030397489354e+01
1.014859862667737252e+04,2.878632855956370307e+01
1.014859864755214403e+04,2.878634681445370447e+01
1.014859866842691736e+04,2.878636506864807743e+01
1.014859868930169068e+04,2.878638332214523743e+01
1.014859871017646219e+04,2.878640157494358931e+01
1.014859873105123552e+04,2.878641982704631275e+01
1.014859875192600884e+04,2.878643807845181968e+01
1.014859877280078035e+04,2.878645632915851138e+01
1.014859879367555368e+04,2.878647457916957464e+01
1.014859881455032519e+04,2.878649282848182978e+01
1.014859883542509851e+04,2.878651107709845292e+01
1.014859885629987184e+04,2.878652932501784534e+01
1.014859887717464335e+04,2.878654757223842608e+01
1.014859889804941668e+04,2.878656581876337484e+01
1.014859891892419000e+04,2.878658406459109642e+01
1.014859893979896151e+04,2.878660230971999923e+01
1.014859896067373484e+04,2.878662055415326648e+01
1.014859898154850816e+04,2.878663879788930657e+01
1.014859900242327967e+04,2.878665704092652433e+01
1.014859902329805300e+04,2.878667528326810299e+01
1.014859904417282451e+04,2.878669352491085931e+01
1.014859906504759783e+04,2.878671176585797298e+01
1.014859908592237116e+04,2.878673000610785238e+01
1.014859910679714267e+04,2.878674824565890944e+01
1.014859912767191599e+04,2.878676648451432030e+01
1.014859914854668932e+04,2.878678472267249333e+01
1.014859916942146083e+04,2.878680296013184403e+01
1.014859919029623416e+04,2.878682119689554497e+01
1.014859921117100748e+04,2.878683943296200454e+01
1.014859923204577899e+04,2.878685766832963822e+01
1.014859925292055232e+04,2.878687590300162213e+01
1.014859927379532382e+04,2.878689413697477306e+01
1.014859929467009715e+04,2.878691237025227423e+01
1.014859931554487048e+04,2.878693060283253047e+01
1.014859933641964199e+04,2.878694883471395372e+01
1.014859935729441531e+04,2.878696706589972010e+01
1.014859937816918864e+04,2.878698529638824155e+01
1.014859939904396015e+04,2.878700352617792646e+01
1.014859941991873347e+04,2.878702175527195450e+01
1.014859944079350680e+04,2.878703998366873051e+01
1.014859946166827831e+04,2.878705821136667353e+01
1.014859948254305164e+04,2.878707643836895613e+01
1.014859950341782314e+04,2.878709466467239864e+01
1.014859952429259647e+04,2.878711289028017006e+01
