Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.908227967185634043e+03,2.739322249724754244e+00
9.908227990407864127e+03,2.739322271515671314e+00
9.908228013630092391e+03,2.739322293309128131e+00
9.908228036852322475e+03,2.739322315105127359e+00
9.908228060074552559e+03,2.739322336903668553e+00
9.908228083296782643e+03,2.739322358704751270e+00
9.908228106519010908e+03,2.739322380508373289e+00
9.908228129741240991e+03,2.739322402314537275e+00
9.908228152963471075e+03,2.739322424123243227e+00
9.908228176185701159e+03,2.739322445934490702e+00
9.908228199407929424e+03,2.739322467748276591e+00
9.908228222630159507e+03,2.739322489564605334e+00
9.908228245852389591e+03,2.739322511383474712e+00
9.908228269074619675e+03,2.739322533204884280e+00
9.908228292296847940e+03,2.739322555028833595e+00
9.908228315519078023e+03,2.739322576855324876e+00
9.908228338741308107e+03,2.739322598684356347e+00
9.908228361963538191e+03,2.739322620515928008e+00
9.908228385185766456e+03,2.739322642350038972e+00
9.908228408407996540e+03,2.739322664186691458e+00
9.908228431630226623e+03,2.739322686025883691e+00
9.908228454852456707e+03,2.739322707867617002e+00
9.908228478074684972e+03,2.739322729711887394e+00
9.908228501296915056e+03,2.739322751558699753e+00
9.908228524519145139e+03,2.739322773408052303e+00
9.908228547741375223e+03,2.739322795259944598e+00
9.908228570963603488e+03,2.739322817114374420e+00
9.908228594185833572e+03,2.739322838971345764e+00
9.908228617408063656e+03,2.739322860830856854e+00
9.908228640630293739e+03,2.739322882692906802e+00
9.908228663852522004e+03,2.739322904557494720e+00
9.908228687074752088e+03,2.739322926424623272e+00
9.908228710296982172e+03,2.739322948294291127e+00
9.908228733519212255e+03,2.739322970166498727e+00
9.908228756741440520e+03,2.739322992041242966e+00
9.908228779963670604e+03,2.739323013918527838e+00
9.908228803185900688e+03,2.739323035798352013e+00
9.908228826408130772e+03,2.739323057680714157e+00
9.908228849630359036e+03,2.739323079565614272e+00
9.908228872852589120e+03,2.739323101453054132e+00
9.908228896074819204e+03,2.739323123343032407e+00
9.908228919297049288e+03,2.739323145235549539e+00
9.908228942519277552e+03,2.739323167130602865e+00
9.908228965741507636e+03,2.739323189028196381e+00
9.908228988963737720e+03,2.739323210928328312e+00
