Time (BJD_TBD - 2450000), F_f/F_star (ppm)
9.891715545348690284e+03,3.304291508711725101e+01
9.891715568241026631e+03,3.304384830451836308e+01
9.891715591133361158e+03,3.304478153099052662e+01
9.891715614025697505e+03,3.304571476668186847e+01
9.891715636918032033e+03,3.304664801144382835e+01
9.891715659810368379e+03,3.304758126542448338e+01
9.891715682702702907e+03,3.304851452847530879e+01
9.891715705595039253e+03,3.304944780074438171e+01
9.891715728487375600e+03,3.305038108215730830e+01
9.891715751379710127e+03,3.305131437263972316e+01
9.891715774272046474e+03,3.305224767233970340e+01
9.891715797164381001e+03,3.305318098110871006e+01
9.891715820056717348e+03,3.305411429909483445e+01
9.891715842949051876e+03,3.305504762614950920e+01
9.891715865841388222e+03,3.305598096242084694e+01
9.891715888733722750e+03,3.305691430776029449e+01
9.891715911626059096e+03,3.305784766231593608e+01
9.891715934518395443e+03,3.305878102601340629e+01
9.891715957410729970e+03,3.305971439877830420e+01
9.891715980303066317e+03,3.306064778075871402e+01
9.891716003195400845e+03,3.306158117180608258e+01
9.891716026087737191e+03,3.306251457206852251e+01
9.891716048980071719e+03,3.306344798139747354e+01
9.891716071872408065e+03,3.306438139994103409e+01
9.891716094764742593e+03,3.306531482755065809e+01
9.891716117657078939e+03,3.306624826437443687e+01
9.891716140549415286e+03,3.306718171033797660e+01
9.891716163441749814e+03,3.306811516536687634e+01
9.891716186334086160e+03,3.306904862960925584e+01
9.891716209226420688e+03,3.306998210291654772e+01
9.891716232118757034e+03,3.307091558543686460e+01
9.891716255011091562e+03,3.307184907702163912e+01
9.891716277903427908e+03,3.307278257781897679e+01
9.891716300795762436e+03,3.307371608768030313e+01
9.891716323688098782e+03,3.307464960675375210e+01
9.891716346580433310e+03,3.307558313489074209e+01
9.891716369472769657e+03,3.307651667223937864e+01
9.891716392365106003e+03,3.307745021872528213e+01
9.891716415257440531e+03,3.307838377427404453e+01
9.891716438149776877e+03,3.307931733903377136e+01
9.891716461042111405e+03,3.308025091285588815e+01
9.891716483934447751e+03,3.308118449588855015e+01
9.891716506826782279e+03,3.308211808798313314e+01
9.891716529719118626e+03,3.308305168928779239e+01
9.891716552611453153e+03,3.308398529965393919e+01
9.891716575503789500e+03,3.308491891922969330e+01
9.891716598396125846e+03,3.308585254794067509e+01
9.891716621288460374e+03,3.308678618571240548e+01
9.891716644180796720e+03,3.308771983269311789e+01
9.891716667073131248e+03,3.308865348873414547e+01
9.891716689965467594e+03,3.308958715398365769e+01
9.891716712857802122e+03,3.309052082829304453e+01
9.891716735750138469e+03,3.309145451181045416e+01
9.891716758642472996e+03,3.309238820438729078e+01
9.891716781534809343e+03,3.309332190617170255e+01
9.891716804427143870e+03,3.309425561701509366e+01
9.891716827319480217e+03,3.309518933706558386e+01
9.891716850211816563e+03,3.309612306624877931e+01
9.891716873104151091e+03,3.309705680449024356e+01
9.891716895996487438e+03,3.309799055193816031e+01
9.891716918888821965e+03,3.309892430844388400e+01
9.891716941781158312e+03,3.309985807415559833e+01
9.891716964673492839e+03,3.310079184892468618e+01
9.891716987565829186e+03,3.310172563289928860e+01
9.891717010458163713e+03,3.310265942593079558e+01
9.891717033350500060e+03,3.310359322816738370e+01
9.891717056242836406e+03,3.310452703953462361e+01
9.891717079135170934e+03,3.310546085995807175e+01
9.891717102027507281e+03,3.310639468958592602e+01
9.891717124919841808e+03,3.310732852826954797e+01
9.891717147812178155e+03,3.310826237615708578e+01
9.891717170704512682e+03,3.310919623309994364e+01
9.891717193596849029e+03,3.311013009924628392e+01
9.891717216489183556e+03,3.311106397444747529e+01
9.891717239381519903e+03,3.311199785885167302e+01
9.891717262273856250e+03,3.311293175238449038e+01
9.891717285166190777e+03,3.311386565497147672e+01
9.891717308058527124e+03,3.311479956676079439e+01
9.891717330950861651e+03,3.311573348760381919e+01
9.891717353843197998e+03,3.311666741764874189e+01
9.891717376735532525e+03,3.311760135674691696e+01
9.891717399627868872e+03,3.311853530504651388e+01
9.891717422520203399e+03,3.311946926239890843e+01
9.891717445412539746e+03,3.312040322895230560e+01
9.891717468304874274e+03,3.312133720455799590e+01
9.891717491197210620e+03,3.312227118936425541e+01
9.891717514089546967e+03,3.312320518329659080e+01
9.891717536981881494e+03,3.312413918628056564e+01
9.891717559874217841e+03,3.312507319846439202e+01
9.891717582766552368e+03,3.312600721969940309e+01
9.891717605658888715e+03,3.312694125013382518e+01
9.891717628551223243e+03,3.312787528961895589e+01
9.891717651443559589e+03,3.312880933830304286e+01
9.891717674335894117e+03,3.312974339603740503e+01
9.891717697228230463e+03,3.313067746297024030e+01
9.891717720120566810e+03,3.313161153902711931e+01
9.891717743012901337e+03,3.313254562413358428e+01
9.891717765905237684e+03,3.313347971843785444e+01
9.891717788797572211e+03,3.313441382179124872e+01
9.891717811689908558e+03,3.313534793434200054e+01
9.891717834582243086e+03,3.313628205594142884e+01
9.891717857474579432e+03,3.313721618673774572e+01
9.891717880366913960e+03,3.313815032658227011e+01
9.891717903259250306e+03,3.313908447562323545e+01
9.891717926151584834e+03,3.314001863371197487e+01
9.891717949043921180e+03,3.314095280099667917e+01
9.891717971936257527e+03,3.314188697740291900e+01
9.891717994828592055e+03,3.314282116285624369e+01
9.891718017720928401e+03,3.314375535750485824e+01
9.891718040613262929e+03,3.314468956120008869e+01
9.891718063505599275e+03,3.314562377409016136e+01
9.891718086397933803e+03,3.314655799602640940e+01
9.891718109290270149e+03,3.314749222715702359e+01
9.891718132182604677e+03,3.314842646733336551e+01
9.891718155074941023e+03,3.314936071670364015e+01
9.891718177967277370e+03,3.315029497519338264e+01
9.891718200859611898e+03,3.315122924272813520e+01
9.891718223751948244e+03,3.315216351945615259e+01
9.891718246644282772e+03,3.315309780522873950e+01
9.891718269536619118e+03,3.315403210019409386e+01
9.891718292428953646e+03,3.315496640420357721e+01
9.891718315321289992e+03,3.315590071740539457e+01
9.891718338213624520e+03,3.315683503965085066e+01
9.891718361105960867e+03,3.315776937108820022e+01
9.891718383998297213e+03,3.315870371164298547e+01
9.891718406890631741e+03,3.315963806124072732e+01
9.891718429782968087e+03,3.316057242002965211e+01
9.891718452675302615e+03,3.316150678786110717e+01
9.891718475567638961e+03,3.316244116488330462e+01
9.891718498459973489e+03,3.316337555094751366e+01
9.891718521352309835e+03,3.316430994620206718e+01
9.891718544244644363e+03,3.316524435049818464e+01
9.891718567136980710e+03,3.316617876398416342e+01
9.891718590029315237e+03,3.316711318651123719e+01
9.891718612921651584e+03,3.316804761822771752e+01
9.891718635813987930e+03,3.316898205905913244e+01
9.891718658706322458e+03,3.316991650893095311e+01
9.891718681598658804e+03,3.317085096799149113e+01
9.891718704490993332e+03,3.317178543609202279e+01
9.891718727383329679e+03,3.317271991338080284e+01
9.891718750275664206e+03,3.317365439970910757e+01
9.891718773168000553e+03,3.317458889522521304e+01
9.891718796060335080e+03,3.317552339978038844e+01
9.891718818952671427e+03,3.317645791352288853e+01
9.891718841845007773e+03,3.317739243637826974e+01
9.891718864737342301e+03,3.317832696827203165e+01
9.891718887629678647e+03,3.317926150935245033e+01
9.891718910522013175e+03,3.318019605947078077e+01
9.891718933414349522e+03,3.318113061877533454e+01
9.891718956306684049e+03,3.318206518711735953e+01
9.891718979199020396e+03,3.318299976464511047e+01
9.891719002091354923e+03,3.318393435120988499e+01
9.891719024983691270e+03,3.318486894695995915e+01
9.891719047876025797e+03,3.318580355174657370e+01
9.891719070768362144e+03,3.318673816571803314e+01
9.891719093660698491e+03,3.318767278879985128e+01
9.891719116553033018e+03,3.318860742091753480e+01
9.891719139445369365e+03,3.318954206221936687e+01
9.891719162337703892e+03,3.319047671255661669e+01
9.891719185230040239e+03,3.319141137207756742e+01
9.891719208122374766e+03,3.319234604063345984e+01
9.891719231014711113e+03,3.319328071837261263e+01
9.891719253907045641e+03,3.319421540514625235e+01
9.891719276799381987e+03,3.319515010110269060e+01
9.891719299691718334e+03,3.319608480616741275e+01
9.891719322584052861e+03,3.319701952026596103e+01
9.891719345476389208e+03,3.319795424354661151e+01
9.891719368368723735e+03,3.319888897586059784e+01
9.891719391261060082e+03,3.319982371735625293e+01
9.891719414153394609e+03,3.320075846788480334e+01
9.891719437045730956e+03,3.320169322759455355e+01
9.891719459938065484e+03,3.320262799633670880e+01
9.891719482830401830e+03,3.320356277425965175e+01
9.891719505722738177e+03,3.320449756128882512e+01
9.891719528615072704e+03,3.320543235734973564e+01
9.891719551507409051e+03,3.320636716259071619e+01
9.891719574399743578e+03,3.320730197686297913e+01
9.891719597292079925e+03,3.320823680031487868e+01
9.891719620184414453e+03,3.320917163279757034e+01
9.891719643076750799e+03,3.321010647445943675e+01
9.891719665969085327e+03,3.321104132515168317e+01
9.891719688861421673e+03,3.321197618502259985e+01
9.891719711753756201e+03,3.321291105392345600e+01
9.891719734646092547e+03,3.321384593200255608e+01
9.891719757538428894e+03,3.321478081918538550e+01
9.891719780430763421e+03,3.321571571539743672e+01
9.891719803323099768e+03,3.321665062078706399e+01
9.891719826215434296e+03,3.321758553520546542e+01
9.891719849107770642e+03,3.321852045880095261e+01
9.891719872000105170e+03,3.321945539142476633e+01
9.891719894892441516e+03,3.322039033322522528e+01
9.891719917784776044e+03,3.322132528405354179e+01
9.891719940677112390e+03,3.322226024405806299e+01
9.891719963569448737e+03,3.322319521316426005e+01
9.891719986461783265e+03,3.322413019129762546e+01
9.891720009354119611e+03,3.322506517860649922e+01
9.891720032246454139e+03,3.322600017494210078e+01
9.891720055138790485e+03,3.322693518045274885e+01
9.891720078031125013e+03,3.322787019498964867e+01
9.891720100923461359e+03,3.322880521870115444e+01
9.891720123815795887e+03,3.322974025143845722e+01
9.891720146708132233e+03,3.323067529334990411e+01
9.891720169600466761e+03,3.323161034428669325e+01
9.891720192492803108e+03,3.323254540439716465e+01
9.891720215385139454e+03,3.323348047360682500e+01
9.891720238277473982e+03,3.323441555184112417e+01
9.891720261169810328e+03,3.323535063924843769e+01
9.891720284062144856e+03,3.323628573567994948e+01
9.891720306954481202e+03,3.323722084128401377e+01
9.891720329846815730e+03,3.323815595591180738e+01
