Time (BJD_TBD - 2450000), F_g/F_star (ppm)
9.905251215792717630e+03,8.071542685902898029e+01
9.905251237122396560e+03,8.071599454669890861e+01
9.905251258452075490e+03,8.071656223161534172e+01
9.905251279781756239e+03,8.071712991382663915e+01
9.905251301111435168e+03,8.071769759323592552e+01
9.905251322441114098e+03,8.071826526989153194e+01
9.905251343770793028e+03,8.071883294379337315e+01
9.905251365100471958e+03,8.071940061494142071e+01
9.905251386430152706e+03,8.071996828338401997e+01
9.905251407759831636e+03,8.072053594902422446e+01
9.905251429089510566e+03,8.072110361191042216e+01
9.905251450419189496e+03,8.072167127204255621e+01
9.905251471748868425e+03,8.072223892942051293e+01
9.905251493078547355e+03,8.072280658404429232e+01
9.905251514408228104e+03,8.072337423596218287e+01
9.905251535737907034e+03,8.072394188507730917e+01
9.905251557067585964e+03,8.072450953143801655e+01
9.905251578397264893e+03,8.072507717504424818e+01
9.905251599726943823e+03,8.072564481589594720e+01
9.905251621056624572e+03,8.072621245404143053e+01
9.905251642386303502e+03,8.072678008938379435e+01
9.905251663715982431e+03,8.072734772197146924e+01
9.905251685045661361e+03,8.072791535180428468e+01
9.905251706375340291e+03,8.072848297888222646e+01
9.905251727705021040e+03,8.072905060325361148e+01
9.905251749034699969e+03,8.072961822482159278e+01
9.905251770364378899e+03,8.073018584363450145e+01
9.905251791694057829e+03,8.073075345969223804e+01
9.905251813023736759e+03,8.073132107299475990e+01
9.905251834353415688e+03,8.073188868354201020e+01
9.905251855683096437e+03,8.073245629138232005e+01
9.905251877012775367e+03,8.073302389641879984e+01
9.905251898342454297e+03,8.073359149869978069e+01
9.905251919672133226e+03,8.073415909822523417e+01
9.905251941001812156e+03,8.073472669499507504e+01
9.905251962331492905e+03,8.073529428905762018e+01
9.905251983661171835e+03,8.073586188031602262e+01
9.905252004990850764e+03,8.073642946881859928e+01
9.905252026320529694e+03,8.073699705456527909e+01
9.905252047650208624e+03,8.073756463755601942e+01
9.905252068979887554e+03,8.073813221779074922e+01
9.905252090309568302e+03,8.073869979531777119e+01
9.905252111639247232e+03,8.073926737004026677e+01
9.905252132968926162e+03,8.073983494200652444e+01
9.905252154298605092e+03,8.074040251121651579e+01
9.905252175628284022e+03,8.074097007767014134e+01
9.905252196957964770e+03,8.074153764141576062e+01
9.905252218287643700e+03,8.074210520235649824e+01
9.905252239617322630e+03,8.074267276054065690e+01
9.905252260947001560e+03,8.074324031596822238e+01
9.905252282276680489e+03,8.074380786863908099e+01
9.905252303606359419e+03,8.074437541855320433e+01
9.905252324936040168e+03,8.074494296575890928e+01
9.905252346265719098e+03,8.074551051015932046e+01
9.905252367595398027e+03,8.074607805180278319e+01
9.905252388925076957e+03,8.074664559068921221e+01
9.905252410254755887e+03,8.074721312681856489e+01
9.905252431584436636e+03,8.074778066023915812e+01
9.905252452914115565e+03,8.074834819085413073e+01
9.905252474243794495e+03,8.074891571871184226e+01
9.905252495573473425e+03,8.074948324381216480e+01
9.905252516903152355e+03,8.075005076615508415e+01
9.905252538232833103e+03,8.075061828578890299e+01
9.905252559562512033e+03,8.075118580261676016e+01
9.905252580892190963e+03,8.075175331668702938e+01
9.905252602221869893e+03,8.075232082799959699e+01
9.905252623551548822e+03,8.075288833655439191e+01
9.905252644881227752e+03,8.075345584235138574e+01
9.905252666210908501e+03,8.075402334543889538e+01
9.905252687540587431e+03,8.075459084572004542e+01
9.905252708870266360e+03,8.075515834324316700e+01
9.905252730199945290e+03,8.075572583800820325e+01
9.905252751529624220e+03,8.075629333001508314e+01
9.905252772859304969e+03,8.075686081931212357e+01
9.905252794188983898e+03,8.075742830580250597e+01
9.905252815518662828e+03,8.075799578953451885e+01
9.905252836848341758e+03,8.075856327050810535e+01
9.905252858178020688e+03,8.075913074872320863e+01
9.905252879507699618e+03,8.075969822417975763e+01
9.905252900837380366e+03,8.076026569692605506e+01
9.905252922167059296e+03,8.076083316686529656e+01
9.905252943496738226e+03,8.076140063404575642e+01
9.905252964826417156e+03,8.076196809846742042e+01
9.905252986156096085e+03,8.076253556013018908e+01
9.905253007485776834e+03,8.076310301908239353e+01
9.905253028815455764e+03,8.076367047522715836e+01
9.905253050145134694e+03,8.076423792861285733e+01
