Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.903854240052705791e+03,2.654888562949079045e+00
9.903854262949671465e+03,2.654888599906950475e+00
9.903854285846637140e+03,2.654888636864235707e+00
9.903854308743602815e+03,2.654888673820945399e+00
9.903854331640568489e+03,2.654888710777072447e+00
9.903854354537534164e+03,2.654888747732623955e+00
9.903854377434499838e+03,2.654888784687592818e+00
9.903854400331465513e+03,2.654888821641986141e+00
9.903854423228431187e+03,2.654888858595796819e+00
9.903854446125396862e+03,2.654888895549024852e+00
9.903854469022362537e+03,2.654888932501680898e+00
9.903854491919328211e+03,2.654888969453747194e+00
9.903854514816293886e+03,2.654889006405241503e+00
9.903854537713259560e+03,2.654889043356153167e+00
9.903854560610225235e+03,2.654889080306485738e+00
9.903854583507190910e+03,2.654889117256235664e+00
9.903854606404154765e+03,2.654889154205402946e+00
9.903854629301120440e+03,2.654889191153991135e+00
9.903854652198086114e+03,2.654889228101996679e+00
9.903854675095051789e+03,2.654889265049426683e+00
9.903854697992017464e+03,2.654889301996270490e+00
9.903854720888983138e+03,2.654889338942531651e+00
9.903854743785948813e+03,2.654889375888213721e+00
9.903854766682914487e+03,2.654889412833316698e+00
9.903854789579880162e+03,2.654889449777837029e+00
9.903854812476845836e+03,2.654889486721771164e+00
9.903854835373811511e+03,2.654889523665122653e+00
9.903854858270777186e+03,2.654889560607895049e+00
9.903854881167742860e+03,2.654889597550084801e+00
9.903854904064708535e+03,2.654889634491688355e+00
9.903854926961674209e+03,2.654889671432712817e+00
9.903854949858639884e+03,2.654889708373154633e+00
9.903854972755605559e+03,2.654889745313010252e+00
9.903854995652571233e+03,2.654889782252286778e+00
9.903855018549536908e+03,2.654889819190973554e+00
9.903855041446502582e+03,2.654889856129081238e+00
9.903855064343468257e+03,2.654889893066606277e+00
9.903855087240433932e+03,2.654889930003541565e+00
9.903855110137399606e+03,2.654889966939897761e+00
9.903855133034365281e+03,2.654890003875667759e+00
9.903855155931330955e+03,2.654890040810855112e+00
9.903855178828296630e+03,2.654890077745456267e+00
9.903855201725262305e+03,2.654890114679471225e+00
9.903855224622227979e+03,2.654890151612907090e+00
9.903855247519193654e+03,2.654890188545753205e+00
9.903855270416159328e+03,2.654890225478016674e+00
9.903855293313125003e+03,2.654890262409690393e+00
9.903855316210090677e+03,2.654890299340785020e+00
