Time (BJD_TBD - 2450000), F_star + F_planets (mJy)
9.908368020452535347e+03,2.742981219559599282e+00
9.908368043674763612e+03,2.742981251056104242e+00
9.908368066896993696e+03,2.742981282543407673e+00
9.908368090119223780e+03,2.742981314021502470e+00
9.908368113341453864e+03,2.742981345490381528e+00
9.908368136563682128e+03,2.742981376950051953e+00
9.908368159785912212e+03,2.742981408400513743e+00
9.908368183008142296e+03,2.742981439841766900e+00
9.908368206230372380e+03,2.742981471273807870e+00
9.908368229452600644e+03,2.742981502696633100e+00
9.908368252674830728e+03,2.742981534110253250e+00
9.908368275897060812e+03,2.742981565514657660e+00
9.908368299119290896e+03,2.742981596909860542e+00
9.908368322341519161e+03,2.742981628295840579e+00
9.908368345563749244e+03,2.742981659672611983e+00
9.908368368785979328e+03,2.742981691040174752e+00
9.908368392008209412e+03,2.742981722398521782e+00
9.908368415230437677e+03,2.742981753747656626e+00
9.908368438452667760e+03,2.742981785087579283e+00
9.908368461674897844e+03,2.742981816418293306e+00
9.908368484897127928e+03,2.742981847739788037e+00
9.908368508119356193e+03,2.742981879052070582e+00
9.908368531341586277e+03,2.742981910355144493e+00
9.908368554563816360e+03,2.742981941649002664e+00
9.908368577786046444e+03,2.742981972933641543e+00
9.908368601008274709e+03,2.742982004209071789e+00
9.908368624230504793e+03,2.742982035475289848e+00
9.908368647452734876e+03,2.742982066732292168e+00
9.908368670674964960e+03,2.742982097980075196e+00
9.908368693897193225e+03,2.742982129218649590e+00
9.908368717119423309e+03,2.742982160448004691e+00
9.908368740341653393e+03,2.742982191668147607e+00
9.908368763563883476e+03,2.742982222879078336e+00
9.908368786786111741e+03,2.742982254080786220e+00
9.908368810008341825e+03,2.742982285273281917e+00
9.908368833230571909e+03,2.742982316456561875e+00
9.908368856452801992e+03,2.742982347630626094e+00
9.908368879675030257e+03,2.742982378795467469e+00
9.908368902897260341e+03,2.742982409951103762e+00
9.908368926119490425e+03,2.740630957161915404e+00
9.908368949341720509e+03,2.740630979880418039e+00
9.908368972563950592e+03,2.740631002600654398e+00
9.908368995786178857e+03,2.740631025322620928e+00
9.908369019008408941e+03,2.740631048046324736e+00
9.908369042230639025e+03,2.740631070771762268e+00
9.908369065452869108e+03,2.740631093498929971e+00
9.908369088675097373e+03,2.740631116227827846e+00
9.908369111897327457e+03,2.740631138958459445e+00
9.908369135119557541e+03,2.740631161690824769e+00
9.908369158341787625e+03,2.740631184424920264e+00
9.908369181564015889e+03,2.740631207160749483e+00
9.908369204786245973e+03,2.740631229898308874e+00
9.908369228008476057e+03,2.740631252637601989e+00
9.908369251230706141e+03,2.740631275378625276e+00
9.908369274452934405e+03,2.740631298121382287e+00
9.908369297675164489e+03,2.740631320865869469e+00
9.908369320897394573e+03,2.740631343612090376e+00
9.908369344119624657e+03,2.740631366360041454e+00
9.908369367341852922e+03,2.740631389109722704e+00
9.908369390564083005e+03,2.740631411861134126e+00
9.908369413786313089e+03,2.740631434614275719e+00
9.908369437008543173e+03,2.740631457369151036e+00
9.908369460230771438e+03,2.740631480125756525e+00
9.908369483453001521e+03,2.740631502884092185e+00
9.908369506675231605e+03,2.740631525644158017e+00
9.908369529897461689e+03,2.740631548405954021e+00
9.908369553119689954e+03,2.740631571169476643e+00
9.908369576341920038e+03,2.740631593934740096e+00
9.908369599564150121e+03,2.740631616701723061e+00
9.908369622786380205e+03,2.740631639470443304e+00
9.908369646008608470e+03,2.740631662240890165e+00
9.908369669230838554e+03,2.740631685013060093e+00
9.908369692453068637e+03,2.740631707786970850e+00
9.908369715675298721e+03,2.740631730562604673e+00
9.908369738897526986e+03,2.740631753339968668e+00
9.908369762119757070e+03,2.740631776119062835e+00
9.908369785341987154e+03,2.740631798899887173e+00
9.908369808564217237e+03,2.740631821682438130e+00
9.908369831786445502e+03,2.740631844466719258e+00
9.908369855008675586e+03,2.740631867252727005e+00
9.908369878230905670e+03,2.740631890040468477e+00
9.908369901453135753e+03,2.740631912829933015e+00
9.908369924675364018e+03,2.740631935621124171e+00
9.908369947897594102e+03,2.740631958414049052e+00
9.908369971119824186e+03,2.740631981208704104e+00
9.908369994342054270e+03,2.740632004005082223e+00
9.908370017564282534e+03,2.740632026803186960e+00
9.908370040786512618e+03,2.740632049603021869e+00
9.908370064008742702e+03,2.740632072404586950e+00
9.908370087230972786e+03,2.740632095207878649e+00
9.908370110453201050e+03,2.740632118012893415e+00
9.908370133675431134e+03,2.740632140819638352e+00
9.908370156897661218e+03,2.740632163628117013e+00
9.908370180119891302e+03,2.740632186438315188e+00
9.908370203342119567e+03,2.740632209250239981e+00
9.908370226564349650e+03,2.740632232063891394e+00
9.908370249786579734e+03,2.740632254879276530e+00
9.908370273008809818e+03,2.740632277696381180e+00
9.908370296231038083e+03,2.740632300515212449e+00
9.908370319453268166e+03,2.740632323335773890e+00
9.908370342675498250e+03,2.740632346158061949e+00
9.908370365897728334e+03,2.740632368982076628e+00
9.908370389119956599e+03,2.740632391807810819e+00
9.908370412342186683e+03,2.740632414635282288e+00
9.908370435564416766e+03,2.740632437464469717e+00
9.908370458786646850e+03,2.740632460295383765e+00
9.908370482008875115e+03,2.740632483128027985e+00
9.908370505231105199e+03,2.740632505962398824e+00
9.908370528453335282e+03,2.740632528798485623e+00
9.908370551675565366e+03,2.740632551636306147e+00
9.908370574897793631e+03,2.740632574475849736e+00
9.908370598120023715e+03,2.740632597317112840e+00
9.908370621342253799e+03,2.740632620160109667e+00
9.908370644564483882e+03,2.740632643004826008e+00
9.908370667786712147e+03,2.740632665851265415e+00
9.908370691008942231e+03,2.740632688699438546e+00
9.908370714231172315e+03,2.740632711549331191e+00
9.908370737453402398e+03,2.740632734400946902e+00
9.908370760675630663e+03,2.740632757254285679e+00
9.908370783897860747e+03,2.740632780109347522e+00
9.908370807120090831e+03,2.740632802966135984e+00
9.908370830342320914e+03,2.740632825824647512e+00
9.908370853564549179e+03,2.740632848684885658e+00
9.908370876786779263e+03,2.740632871546843319e+00
9.908370900009009347e+03,2.740632894410527598e+00
9.908370923231239431e+03,2.740632917275934943e+00
9.908370946453467695e+03,2.740632940143065355e+00
9.908370969675697779e+03,2.740632963011915280e+00
9.908370992897927863e+03,2.740632985882495376e+00
9.908371016120157947e+03,2.740633008754794986e+00
9.908371039342386212e+03,2.740633031628814109e+00
9.908371062564616295e+03,2.740633054504559851e+00
9.908371085786846379e+03,2.740633077382025107e+00
9.908371109009076463e+03,2.740633100261220534e+00
9.908371132231304728e+03,2.740633123142128369e+00
9.908371155453534811e+03,2.740633146024766376e+00
9.908371178675764895e+03,2.740633168909120343e+00
9.908371201897994979e+03,2.740633191795200929e+00
9.908371225120223244e+03,2.740633214683001029e+00
9.908371248342453327e+03,2.740633237572524195e+00
9.908371271564683411e+03,2.740633260463766874e+00
9.908371294786913495e+03,2.740633283356736172e+00
9.908371318009141760e+03,2.740633306251421430e+00
9.908371341231371844e+03,2.740633329147829755e+00
9.908371364453601927e+03,2.740633352045961146e+00
9.908371387675832011e+03,2.740633374945808498e+00
9.908371410898060276e+03,2.740633397847378916e+00
9.908371434120290360e+03,2.740633420750672400e+00
9.908371457342520443e+03,2.740633443655685397e+00
9.908371480564750527e+03,2.740633466562421461e+00
9.908371503786978792e+03,2.740633489470869932e+00
9.908371527009208876e+03,2.740633512381052128e+00
9.908371550231438960e+03,2.740633535292946732e+00
9.908371573453669043e+03,2.740633558206560849e+00
9.908371596675897308e+03,2.740633581121898033e+00
9.908371619898127392e+03,2.740633604038947624e+00
9.908371643120357476e+03,2.740633626957727387e+00
9.908371666342587559e+03,2.740633649878223110e+00
9.908371689564815824e+03,2.740633672800434795e+00
9.908371712787045908e+03,2.740633695724373098e+00
9.908371736009275992e+03,2.740633718650023809e+00
9.908371759231506076e+03,2.740633741577397586e+00
9.908371782453734340e+03,2.740633764506483772e+00
9.908371805675964424e+03,2.740633787437300128e+00
9.908371828898194508e+03,2.740633810369828893e+00
9.908371852120424592e+03,2.740633833304077172e+00
9.908371875342652856e+03,2.740633856240044963e+00
9.908371898564882940e+03,2.740633879177728716e+00
9.908371921787113024e+03,2.740633902117131981e+00
9.908371945009343108e+03,2.740633925058254761e+00
9.908371968231571373e+03,2.740633948001093501e+00
9.908371991453801456e+03,2.740633970945651754e+00
9.908372014676031540e+03,2.740633993891929521e+00
9.908372037898261624e+03,2.740634016839923248e+00
9.908372061120489889e+03,2.740634039789636489e+00
9.908372084342719972e+03,2.740634062741062138e+00
9.908372107564950056e+03,2.740634085694214406e+00
9.908372130787180140e+03,2.740634108649079081e+00
9.908372154009408405e+03,2.740634131605663271e+00
9.908372177231638489e+03,2.740634154563959868e+00
9.908372200453868572e+03,2.740634177523975978e+00
9.908372223676098656e+03,2.740634200485708050e+00
9.908372246898326921e+03,2.740634223449159634e+00
9.908372270120557005e+03,2.740634246414327180e+00
9.908372293342787088e+03,2.740634269381203580e+00
9.908372316565017172e+03,2.740634292349806600e+00
9.908372339787245437e+03,2.740634315320122028e+00
9.908372363009475521e+03,2.740634338292153416e+00
9.908372386231705605e+03,2.740634361265900765e+00
9.908372409453935688e+03,2.740634384241371180e+00
9.908372432676163953e+03,2.740634407218546897e+00
9.908372455898394037e+03,2.740634430197442128e+00
9.908372479120624121e+03,2.740634453178049768e+00
9.908372502342854204e+03,2.740634476160380473e+00
9.908372525565082469e+03,2.740634499144423586e+00
9.908372548787312553e+03,2.740634522130179107e+00
9.908372572009542637e+03,2.740634545117654142e+00
9.908372595231772721e+03,2.740634568106841584e+00
9.908372618454000985e+03,2.740634591097741435e+00
9.908372641676231069e+03,2.740634614090357246e+00
9.908372664898461153e+03,2.740634637084692571e+00
9.908372688120691237e+03,2.740634660080740304e+00
9.908372711342919501e+03,2.740634683078500444e+00
9.908372734565149585e+03,2.740634706077980098e+00
9.908372757787379669e+03,2.740634729079168608e+00
9.908372781009609753e+03,2.740634752082073078e+00
9.908372804231838018e+03,2.740634775086686403e+00
9.908372827454068101e+03,2.740634798093019242e+00
9.908372850676298185e+03,2.740634821101068042e+00
9.908372873898528269e+03,2.740634844110825696e+00
9.908372897120756534e+03,2.740634867122299312e+00
9.908372920342986617e+03,2.740634890135481783e+00
9.908372943565216701e+03,2.740634913150387320e+00
9.908372966787446785e+03,2.740634936166998159e+00
9.908372990009675050e+03,2.740634959185321406e+00
9.908373013231905134e+03,2.740634982205364167e+00
9.908373036454135217e+03,2.740635005227112231e+00
9.908373059676365301e+03,2.740635028250579808e+00
9.908373082898593566e+03,2.740635051275756240e+00
9.908373106120823650e+03,2.740635074302645080e+00
9.908373129343053733e+03,2.740635097331246328e+00
9.908373152565283817e+03,2.740635120361559984e+00
9.908373175787512082e+03,2.740635143393586048e+00
