Time (BJD_TBD - 2450000), F_star + F_c (mJy)
9.917356755286589760e+03,2.653221044353976321e+00
9.917356776932274443e+03,2.653221008926428315e+00
9.917356798577957306e+03,2.653220973500238777e+00
9.917356820223640170e+03,2.653220938075403712e+00
9.917356841869323034e+03,2.653220902651924451e+00
9.917356863515005898e+03,2.653220867229799662e+00
9.917356885160688762e+03,2.653220831809031122e+00
9.917356906806371626e+03,2.653220796389617497e+00
9.917356928452054490e+03,2.653220760971559677e+00
9.917356950097739173e+03,2.653220725554854553e+00
9.917356971743422037e+03,2.653220690139508342e+00
9.917356993389104900e+03,2.653220654725517935e+00
9.917357015034787764e+03,2.653220619312883777e+00
9.917357036680470628e+03,2.653220583901605423e+00
9.917357058326153492e+03,2.653220548491683761e+00
9.917357079971836356e+03,2.653220513083118348e+00
9.917357101617519220e+03,2.653220477675909184e+00
9.917357123263203903e+03,2.653220442270053603e+00
9.917357144908886767e+03,2.653220406865557823e+00
9.917357166554569631e+03,2.653220371462419180e+00
9.917357188200252494e+03,2.653220336060637230e+00
9.917357209845935358e+03,2.653220300660212416e+00
9.917357231491618222e+03,2.653220265261144295e+00
9.917357253137301086e+03,2.653220229863433755e+00
9.917357274782983950e+03,2.653220194467081239e+00
9.917357296428668633e+03,2.653220159072082751e+00
9.917357318074351497e+03,2.653220123678444509e+00
9.917357339720034361e+03,2.653220088286164735e+00
9.917357361365717225e+03,2.653220052895241654e+00
9.917357383011400088e+03,2.653220017505677486e+00
9.917357404657082952e+03,2.653219982117470899e+00
9.917357426302765816e+03,2.653219946730622780e+00
9.917357447948448680e+03,2.653219911345132687e+00
9.917357469594133363e+03,2.653219875960998397e+00
9.917357491239816227e+03,2.653219840578225242e+00
9.917357512885499091e+03,2.653219805196810555e+00
9.917357534531181955e+03,2.653219769816754781e+00
9.917357556176864819e+03,2.653219734438058364e+00
9.917357577822547682e+03,2.653219699060720416e+00
9.917357599468230546e+03,2.653219663684741381e+00
9.917357621113913410e+03,2.653219628310121703e+00
9.917357642759596274e+03,2.653219592936861382e+00
9.917357664405280957e+03,2.653219557564957309e+00
9.917357686050963821e+03,2.653219522194415703e+00
9.917357707696646685e+03,2.653219486825233897e+00
9.917357729342329549e+03,2.653219451457411893e+00
9.917357750988012413e+03,2.653219416090949689e+00
9.917357772633695276e+03,2.653219380725847287e+00
9.917357794279378140e+03,2.653219345362104686e+00
9.917357815925061004e+03,2.653219309999722775e+00
9.917357837570745687e+03,2.653219274638697556e+00
9.917357859216428551e+03,2.653219239279036135e+00
9.917357880862111415e+03,2.653219203920735847e+00
9.917357902507794279e+03,2.653219168563795360e+00
9.917357924153477143e+03,2.653219133208215563e+00
9.917357945799160007e+03,2.653219097853996900e+00
9.917357967444842870e+03,2.653219062501139369e+00
9.917357989090525734e+03,2.653219027149642528e+00
9.917358010736210417e+03,2.653218991799503712e+00
9.917358032381893281e+03,2.653218956450730026e+00
9.917358054027576145e+03,2.653218921103317030e+00
9.917358075673259009e+03,2.653218885757266055e+00
9.917358097318941873e+03,2.653218850412576213e+00
9.917358118964624737e+03,2.653218815069248393e+00
9.917358140610307601e+03,2.653218779727282151e+00
9.917358162255990464e+03,2.653218744386677930e+00
9.917358183901675147e+03,2.653218709047433066e+00
9.917358205547358011e+03,2.653218673709552888e+00
9.917358227193040875e+03,2.653218638373035621e+00
9.917358248838723739e+03,2.653218603037880374e+00
9.917358270484406603e+03,2.653218567704087594e+00
9.917358292130089467e+03,2.653218532371657723e+00
9.917358313775772331e+03,2.653218497040590318e+00
9.917358335421455195e+03,2.653218461710885823e+00
9.917358357067139877e+03,2.653218426382541129e+00
9.917358378712822741e+03,2.653218391055563341e+00
9.917358400358505605e+03,2.653218355729947575e+00
9.917358422004188469e+03,2.653218320405696051e+00
9.917358443649871333e+03,2.653218285082806993e+00
9.917358465295554197e+03,2.653218249761282177e+00
9.917358486941237061e+03,2.653218214441120715e+00
9.917358508586919925e+03,2.653218179122323495e+00
9.917358530232604608e+03,2.653218143804886520e+00
9.917358551878287471e+03,2.653218108488816895e+00
9.917358573523970335e+03,2.653218073174111513e+00
9.917358595169653199e+03,2.653218037860769485e+00
9.917358616815336063e+03,2.653218002548792587e+00
9.917358638461018927e+03,2.653217967238179931e+00
9.917358660106701791e+03,2.653217931928931517e+00
9.917358681752384655e+03,2.653217896621047789e+00
9.917358703398067519e+03,2.653217861314529191e+00
9.917358725043752202e+03,2.653217826009371727e+00
9.917358746689435065e+03,2.653217790705582502e+00
9.917358768335117929e+03,2.653217755403158851e+00
9.917358789980800793e+03,2.653217720102100330e+00
9.917358811626483657e+03,2.653217684802406051e+00
9.917358833272166521e+03,2.653217649504078235e+00
9.917358854917849385e+03,2.653217614207115993e+00
9.917358876563532249e+03,2.653217578911518881e+00
9.917358898209216932e+03,2.653217543617284235e+00
9.917358919854899796e+03,2.653217508324419605e+00
9.917358941500582660e+03,2.653217473032920104e+00
9.917358963146265523e+03,2.653217437742786622e+00
9.917358984791948387e+03,2.653217402454019602e+00
9.917359006437631251e+03,2.653217367166618601e+00
9.917359028083314115e+03,2.653217331880584506e+00
9.917359049728996979e+03,2.653217296595916874e+00
9.917359071374681662e+03,2.653217261312612152e+00
9.917359093020364526e+03,2.653217226030677889e+00
9.917359114666047390e+03,2.653217190750110088e+00
9.917359136311730254e+03,2.653217155470909638e+00
9.917359157957413117e+03,2.653217120193076539e+00
9.917359179603095981e+03,2.653217084916609458e+00
9.917359201248778845e+03,2.653217049641510616e+00
9.917359222894461709e+03,2.653217014367779125e+00
9.917359244540146392e+03,2.653216979095412320e+00
9.917359266185829256e+03,2.653216943824415974e+00
9.917359287831512120e+03,2.653216908554786979e+00
9.917359309477194984e+03,2.653216873286525779e+00
9.917359331122877848e+03,2.653216838019633261e+00
9.917359352768560711e+03,2.653216802754108095e+00
9.917359374414243575e+03,2.653216767489951611e+00
9.917359396059926439e+03,2.653216732227163366e+00
9.917359417705611122e+03,2.653216696965740695e+00
9.917359439351293986e+03,2.653216661705689372e+00
9.917359460996976850e+03,2.653216626447007176e+00
9.917359482642659714e+03,2.653216591189692775e+00
9.917359504288342578e+03,2.653216555933747944e+00
9.917359525934025442e+03,2.653216520679171797e+00
9.917359547579708305e+03,2.653216485425964777e+00
9.917359569225391169e+03,2.653216450174126884e+00
9.917359590871075852e+03,2.653216414923655453e+00
9.917359612516758716e+03,2.653216379674556702e+00
9.917359634162441580e+03,2.653216344426826634e+00
9.917359655808124444e+03,2.653216309180466581e+00
9.917359677453807308e+03,2.653216273935476988e+00
9.917359699099490172e+03,2.653216238691856077e+00
9.917359720745173036e+03,2.653216203449606070e+00
9.917359742390855899e+03,2.653216168208725634e+00
9.917359764036538763e+03,2.653216132969215657e+00
9.917359785682223446e+03,2.653216097731072587e+00
9.917359807327906310e+03,2.653216062494303529e+00
9.917359828973589174e+03,2.653216027258904486e+00
9.917359850619272038e+03,2.653215992024876790e+00
9.917359872264954902e+03,2.653215956792219554e+00
9.917359893910637766e+03,2.653215921560932333e+00
9.917359915556320630e+03,2.653215886331017348e+00
9.917359937202003493e+03,2.653215851102472378e+00
9.917359958847688176e+03,2.653215815875296535e+00
9.917359980493371040e+03,2.653215780649494704e+00
9.917360002139053904e+03,2.653215745425063776e+00
9.917360023784736768e+03,2.653215710202004640e+00
9.917360045430419632e+03,2.653215674980317296e+00
9.917360067076102496e+03,2.653215639760001743e+00
9.917360088721785360e+03,2.653215604541057537e+00
9.917360110367468224e+03,2.653215569323486456e+00
9.917360132013152906e+03,2.653215534107283169e+00
9.917360153658835770e+03,2.653215498892455670e+00
9.917360175304518634e+03,2.653215463679000852e+00
9.917360196950201498e+03,2.653215428466918269e+00
9.917360218595884362e+03,2.653215393256207477e+00
9.917360240241567226e+03,2.653215358046870254e+00
9.917360261887250090e+03,2.653215322838904822e+00
9.917360283532932954e+03,2.653215287632312958e+00
9.917360305178617637e+03,2.653215252427091553e+00
9.917360326824300500e+03,2.653215217223245048e+00
9.917360348469983364e+03,2.653215182020772556e+00
9.917360370115666228e+03,2.653215146819672743e+00
9.917360391761349092e+03,2.653215111619946942e+00
9.917360413407031956e+03,2.653215076421594265e+00
9.917360435052714820e+03,2.653215041224616044e+00
9.917360456698397684e+03,2.653215006029010503e+00
9.917360478344082367e+03,2.653214970834776310e+00
9.917360499989765231e+03,2.653214935641919237e+00
9.917360521635448094e+03,2.653214900450435731e+00
9.917360543281130958e+03,2.653214865260327127e+00
9.917360564926813822e+03,2.653214830071592090e+00
9.917360586572496686e+03,2.653214794884232397e+00
9.917360608218179550e+03,2.653214759698246272e+00
9.917360629863862414e+03,2.653214724513635048e+00
9.917360651509547097e+03,2.653214689330395615e+00
9.917360673155229961e+03,2.653214654148534191e+00
9.917360694800912825e+03,2.653214618968047667e+00
9.917360716446595688e+03,2.653214583788936043e+00
9.917360738092278552e+03,2.653214548611199763e+00
9.917360759737961416e+03,2.653214513434838828e+00
9.917360781383644280e+03,2.653214478259853681e+00
9.917360803029327144e+03,2.653214443086243879e+00
9.917360824675010008e+03,2.653214407914009421e+00
9.917360846320694691e+03,2.653214372743147198e+00
9.917360867966377555e+03,2.653214337573665205e+00
9.917360889612060419e+03,2.653214302405558112e+00
9.917360911257743282e+03,2.653214267238827251e+00
9.917360932903426146e+03,2.653214232073473067e+00
9.917360954549109010e+03,2.653214196909494671e+00
9.917360976194791874e+03,2.653214161746892508e+00
9.917360997840474738e+03,2.653214126585667021e+00
9.917361019486159421e+03,2.653214091425815990e+00
9.917361041131842285e+03,2.653214056267343857e+00
9.917361062777525149e+03,2.653214021110248844e+00
9.917361084423208013e+03,2.653213985954530951e+00
9.917361106068890876e+03,2.653213950800189735e+00
9.917361127714573740e+03,2.653213915647225640e+00
9.917361149360256604e+03,2.653213880495639554e+00
9.917361171005939468e+03,2.653213845345430588e+00
9.917361192651624151e+03,2.653213810196596079e+00
9.917361214297307015e+03,2.653213775049142242e+00
9.917361235942989879e+03,2.653213739903065971e+00
9.917361257588672743e+03,2.653213704758367264e+00
9.917361279234355607e+03,2.653213669615047454e+00
9.917361300880038470e+03,2.653213634473104765e+00
9.917361322525721334e+03,2.653213599332540529e+00
9.917361344171404198e+03,2.653213564193354745e+00
9.917361365817088881e+03,2.653213529055544750e+00
9.917361387462771745e+03,2.653213493919115873e+00
9.917361409108454609e+03,2.653213458784065892e+00
9.917361430754137473e+03,2.653213423650393921e+00
9.917361452399820337e+03,2.653213388518101290e+00
9.917361474045503201e+03,2.653213353387187556e+00
9.917361495691186065e+03,2.653213318257652720e+00
9.917361517336868928e+03,2.653213283129497224e+00
9.917361538982553611e+03,2.653213248002717961e+00
9.917361560628236475e+03,2.653213212877321592e+00
9.917361582273919339e+03,2.653213177753304564e+00
9.917361603919602203e+03,2.653213142630666432e+00
9.917361625565285067e+03,2.653213107509408530e+00
9.917361647210967931e+03,2.653213072389531302e+00
9.917361668856650795e+03,2.653213037271032970e+00
9.917361690502333659e+03,2.653213002153914868e+00
9.917361712148018341e+03,2.653212967038174330e+00
9.917361733793701205e+03,2.653212931923816686e+00
9.917361755439384069e+03,2.653212896810840160e+00
9.917361777085066933e+03,2.653212861699243419e+00
9.917361798730749797e+03,2.653212826589027351e+00
9.917361820376432661e+03,2.653212791480191513e+00
9.917361842022115525e+03,2.653212756372737680e+00
9.917361863667798389e+03,2.653212721266664076e+00
9.917361885313481253e+03,2.653212686161972034e+00
9.917361906959165935e+03,2.653212651058657556e+00
9.917361928604848799e+03,2.653212615956727749e+00
9.917361950250531663e+03,2.653212580856179503e+00
9.917361971896214527e+03,2.653212545757012375e+00
9.917361993541897391e+03,2.653212510659226808e+00
9.917362015187580255e+03,2.653212475562823247e+00
9.917362036833263119e+03,2.653212440467801692e+00
9.917362058478945983e+03,2.653212405374161698e+00
9.917362080124630666e+03,2.653212370281901045e+00
9.917362101770313529e+03,2.653212335191025506e+00
9.917362123415996393e+03,2.653212300101532417e+00
9.917362145061679257e+03,2.653212265013421334e+00
9.917362166707362121e+03,2.653212229926693144e+00
9.917362188353044985e+03,2.653212194841347404e+00
9.917362209998727849e+03,2.653212159757383670e+00
9.917362231644410713e+03,2.653212124674803718e+00
9.917362253290095396e+03,2.653212089593603551e+00
9.917362274935778260e+03,2.653212054513788942e+00
9.917362296581461123e+03,2.653212019435358116e+00
9.917362318227143987e+03,2.653211984358310627e+00
9.917362339872826851e+03,2.653211949282646032e+00
9.917362361518509715e+03,2.653211914208365663e+00
9.917362383164192579e+03,2.653211879135468187e+00
9.917362404809875443e+03,2.653211844063954494e+00
9.917362426455560126e+03,2.653211808993821919e+00
9.917362448101242990e+03,2.653211773925075789e+00
9.917362469746925854e+03,2.653211738857714330e+00
9.917362491392608717e+03,2.653211703791737097e+00
9.917362513038291581e+03,2.653211668727143646e+00
9.917362534683974445e+03,2.653211633663934865e+00
9.917362556329657309e+03,2.653211598602110755e+00
9.917362577975340173e+03,2.653211563541670870e+00
9.917362599621024856e+03,2.653211528482612547e+00
9.917362621266707720e+03,2.653211493424942446e+00
9.917362642912390584e+03,2.653211458368657016e+00
9.917362664558073448e+03,2.653211423313756701e+00
9.917362686203756311e+03,2.653211388260241943e+00
9.917362707849439175e+03,2.653211353208111856e+00
9.917362729495122039e+03,2.653211318157367327e+00
9.917362751140804903e+03,2.653211283108008356e+00
9.917362772786489586e+03,2.653211248060032723e+00
9.917362794432172450e+03,2.653211213013444425e+00
9.917362816077855314e+03,2.653211177968243017e+00
9.917362837723538178e+03,2.653211142924427168e+00
9.917362859369221042e+03,2.653211107881997322e+00
9.917362881014903905e+03,2.653211072840953921e+00
9.917362902660586769e+03,2.653211037801296079e+00
9.917362924306269633e+03,2.653211002763025572e+00
9.917362945951954316e+03,2.653210967726137959e+00
9.917362967597637180e+03,2.653210932690639456e+00
9.917362989243320044e+03,2.653210897656528289e+00
9.917363010889002908e+03,2.653210862623804456e+00
9.917363032534685772e+03,2.653210827592467069e+00
9.917363054180368636e+03,2.653210792562516573e+00
9.917363075826051499e+03,2.653210757533952968e+00
9.917363097471734363e+03,2.653210722506777142e+00
9.917363119117417227e+03,2.653210687480988206e+00
9.917363140763101910e+03,2.653210652456584384e+00
9.917363162408784774e+03,2.653210617433571006e+00
9.917363184054467638e+03,2.653210582411944962e+00
9.917363205700150502e+03,2.653210547391707141e+00
9.917363227345833366e+03,2.653210512372856655e+00
9.917363248991516230e+03,2.653210477355394836e+00
9.917363270637199093e+03,2.653210442339320796e+00
9.917363292282881957e+03,2.653210407324634978e+00
9.917363313928566640e+03,2.653210372311334719e+00
9.917363335574249504e+03,2.653210337299425792e+00
9.917363357219932368e+03,2.653210302288905975e+00
9.917363378865615232e+03,2.653210267279774381e+00
9.917363400511298096e+03,2.653210232272031011e+00
9.917363422156980960e+03,2.653210197265677639e+00
9.917363443802663824e+03,2.653210162260712490e+00
9.917363465448346687e+03,2.653210127257136897e+00
9.917363487094031370e+03,2.653210092254947305e+00
9.917363508739714234e+03,2.653210057254150378e+00
9.917363530385397098e+03,2.653210022254743006e+00
9.917363552031079962e+03,2.653209987256724744e+00
9.917363573676762826e+03,2.653209952260096482e+00
9.917363595322445690e+03,2.653209917264857776e+00
9.917363616968128554e+03,2.653209882271009512e+00
9.917363638613811418e+03,2.653209847278550804e+00
9.917363660259496100e+03,2.653209812287479430e+00
9.917363681905178964e+03,2.653209777297801164e+00
9.917363703550861828e+03,2.653209742309513341e+00
9.917363725196544692e+03,2.653209707322615962e+00
9.917363746842227556e+03,2.653209672337109026e+00
9.917363768487910420e+03,2.653209637352992534e+00
9.917363790133593284e+03,2.653209602370267373e+00
9.917363811779276148e+03,2.653209567388933099e+00
9.917363833424960831e+03,2.653209532408986160e+00
9.917363855070643694e+03,2.653209497430434105e+00
9.917363876716326558e+03,2.653209462453272938e+00
9.917363898362009422e+03,2.653209427477503546e+00
9.917363920007692286e+03,2.653209392503125041e+00
9.917363941653375150e+03,2.653209357530138313e+00
9.917363963299058014e+03,2.653209322558543359e+00
9.917363984944740878e+03,2.653209287588339738e+00
9.917364006590425561e+03,2.653209252619525671e+00
9.917364028236108425e+03,2.653209217652106044e+00
9.917364049881791288e+03,2.653209182686079082e+00
9.917364071527474152e+03,2.653209147721443895e+00
9.917364093173157016e+03,2.653209112758200927e+00
9.917364114818839880e+03,2.653209077796351067e+00
9.917364136464522744e+03,2.653209042835893428e+00
9.917364158110205608e+03,2.653209007876828451e+00
9.917364179755888472e+03,2.653208972919156583e+00
9.917364201401573155e+03,2.653208937962873826e+00
9.917364223047256019e+03,2.653208903007987729e+00
9.917364244692938883e+03,2.653208868054494740e+00
9.917364266338621746e+03,2.653208833102394415e+00
9.917364287984304610e+03,2.653208798151687642e+00
9.917364309629987474e+03,2.653208763202374421e+00
9.917364331275670338e+03,2.653208728254454307e+00
9.917364352921353202e+03,2.653208693307928634e+00
9.917364374567037885e+03,2.653208658362793848e+00
9.917364396212720749e+03,2.653208623419054835e+00
9.917364417858403613e+03,2.653208588476710705e+00
9.917364439504086477e+03,2.653208553535760572e+00
9.917364461149769340e+03,2.653208518596204435e+00
9.917364482795452204e+03,2.653208483658042738e+00
9.917364504441135068e+03,2.653208448721275481e+00
9.917364526086817932e+03,2.653208413785902220e+00
9.917364547732502615e+03,2.653208378851921179e+00
9.917364569378185479e+03,2.653208343919337686e+00
9.917364591023868343e+03,2.653208308988149522e+00
9.917364612669551207e+03,2.653208274058355798e+00
9.917364634315234071e+03,2.653208239129957402e+00
9.917364655960916934e+03,2.653208204202954335e+00
9.917364677606599798e+03,2.653208169277346595e+00
9.917364699252282662e+03,2.653208134353133740e+00
9.917364720897967345e+03,2.653208099430313993e+00
9.917364742543650209e+03,2.653208064508892683e+00
9.917364764189333073e+03,2.653208029588867145e+00
9.917364785835015937e+03,2.653207994670237380e+00
9.917364807480698801e+03,2.653207959753003831e+00
9.917364829126381665e+03,2.653207924837166498e+00
9.917364850772064528e+03,2.653207889922724938e+00
9.917364872417747392e+03,2.653207855009679594e+00
9.917364894063432075e+03,2.653207820098027803e+00
9.917364915709114939e+03,2.653207785187775780e+00
9.917364937354797803e+03,2.653207750278920418e+00
9.917364959000480667e+03,2.653207715371461717e+00
9.917364980646163531e+03,2.653207680465399676e+00
9.917365002291846395e+03,2.653207645560734740e+00
9.917365023937529259e+03,2.653207610657466464e+00
9.917365045583212122e+03,2.653207575755595737e+00
9.917365067228896805e+03,2.653207540855119451e+00
9.917365088874579669e+03,2.653207505956042933e+00
9.917365110520262533e+03,2.653207471058364852e+00
9.917365132165945397e+03,2.653207436162083876e+00
9.917365153811628261e+03,2.653207401267200893e+00
9.917365175457311125e+03,2.653207366373715015e+00
9.917365197102993989e+03,2.653207331481628017e+00
9.917365218748676853e+03,2.653207296590938569e+00
9.917365240394359716e+03,2.653207261701647557e+00
