Time (BJD_TBD - 2450000), F_c/F_star (ppm)
9.908273111200034691e+03,4.926415755706180732e+01
9.908273134422264775e+03,4.927385778276146056e+01
9.908273157644494859e+03,4.928355887392736179e+01
9.908273180866724942e+03,4.929326083052424678e+01
9.908273204088953207e+03,4.930296365175687612e+01
9.908273227311183291e+03,4.931266733911002831e+01
9.908273250533413375e+03,4.932237189178854209e+01
9.908273273755643459e+03,4.933207730975721006e+01
9.908273296977871723e+03,4.934178359222037358e+01
9.908273320200101807e+03,4.935149074066345776e+01
9.908273343422331891e+03,4.936119875429101000e+01
9.908273366644561975e+03,4.937090763306768793e+01
9.908273389866790239e+03,4.938061737619771918e+01
9.908273413089020323e+03,4.939032798516697653e+01
9.908273436311250407e+03,4.940003945917966632e+01
9.908273459533480491e+03,4.940975179820056695e+01
9.908273482755708756e+03,4.941946500143351528e+01
9.908273505977938839e+03,4.942917907036494540e+01
9.908273529200168923e+03,4.943889400419880076e+01
9.908273552422399007e+03,4.944860980289980290e+01
9.908273575644627272e+03,4.945832646567154711e+01
9.908273598866857355e+03,4.946804399400097907e+01
9.908273622089087439e+03,4.947776238709177932e+01
9.908273645311317523e+03,4.948748164490861967e+01
9.908273668533545788e+03,4.949720176665481830e+01
9.908273691755775872e+03,4.950692275381787510e+01
9.908273714978005955e+03,4.951664460560119352e+01
9.908273738200236039e+03,4.952636732196939562e+01
9.908273761422464304e+03,4.953609090212555088e+01
9.908273784644694388e+03,4.954581534755764949e+01
9.908273807866924471e+03,4.955554065746878223e+01
9.908273831089154555e+03,4.956526683182369197e+01
9.908273854311382820e+03,4.957499386982505740e+01
9.908273877533612904e+03,4.958472177296143713e+01
9.908273900755842988e+03,4.959445054043563772e+01
9.908273923978073071e+03,4.960418017221233811e+01
9.908273947200301336e+03,4.961391066749399670e+01
9.908273970422531420e+03,4.962364202776964817e+01
9.908273993644761504e+03,4.963337425224185040e+01
9.908274016866991587e+03,4.964310734087529653e+01
9.908274040089219852e+03,4.965284129287207548e+01
9.908274063311449936e+03,4.966257610972186143e+01
9.908274086533680020e+03,4.967231179062685698e+01
9.908274109755910104e+03,4.968204833555173394e+01
9.908274132978138368e+03,4.969178574369836809e+01
9.908274156200368452e+03,4.970152401655685992e+01
9.908274179422598536e+03,4.971126315332919177e+01
9.908274202644828620e+03,4.972100315398003545e+01
9.908274225867056884e+03,4.973074401771094699e+01
9.908274249089286968e+03,4.974048574601263084e+01
9.908274272311517052e+03,4.975022833808667855e+01
9.908274295533747136e+03,4.975997179389780456e+01
9.908274318755975401e+03,4.976971611264727358e+01
9.908274341978205484e+03,4.977946129582630874e+01
9.908274365200435568e+03,4.978920734263623871e+01
9.908274388422665652e+03,4.979895425304174950e+01
9.908274411644893917e+03,4.980870202624387844e+01
9.908274434867124000e+03,4.981845066373426079e+01
9.908274458089354084e+03,4.982820016471407598e+01
9.908274481311584168e+03,4.983795052914789636e+01
9.908274504533812433e+03,4.984770175623649635e+01
9.908274527756042517e+03,4.985745384747210096e+01
9.908274550978272600e+03,4.986720680205554146e+01
9.908274574200502684e+03,4.987696061995142571e+01
9.908274597422730949e+03,4.988671530036016577e+01
9.908274620644961033e+03,4.989647084477457639e+01
9.908274643867191116e+03,4.990622725239519752e+01
9.908274667089421200e+03,4.991598452318660151e+01
9.908274690311649465e+03,4.992574265634898723e+01
9.908274713533879549e+03,4.993550165337563129e+01
9.908274736756109633e+03,4.994526151346678944e+01
9.908274759978339716e+03,4.995502223658707663e+01
9.908274783200567981e+03,4.996478382193632939e+01
9.908274806422798065e+03,4.997454627100843538e+01
9.908274829645028149e+03,4.998430958300330929e+01
9.908274852867258232e+03,4.999407375788554475e+01
9.908274876089486497e+03,5.000383879485477223e+01
9.908274899311716581e+03,5.001360469540536258e+01
9.908274922533946665e+03,5.002337145873691782e+01
9.908274945756176749e+03,5.003313908481406713e+01
9.908274968978405013e+03,5.004290757283612123e+01
9.908274992200635097e+03,5.005267692429793414e+01
9.908275015422865181e+03,5.006244713839893734e+01
9.908275038645095265e+03,5.007221821510367477e+01
9.908275061867323529e+03,5.008199015361121553e+01
9.908275085089553613e+03,5.009176295541691815e+01
9.908275108311783697e+03,5.010153661971992989e+01
9.908275131534013781e+03,5.011131114648478757e+01
9.908275154756242046e+03,5.012108653491027610e+01
9.908275177978472129e+03,5.013086278649227978e+01
9.908275201200702213e+03,5.014063990042966878e+01
9.908275224422932297e+03,5.015041787668695150e+01
9.908275247645160562e+03,5.016019671446264283e+01
9.908275270867390645e+03,5.016997641525314577e+01
9.908275294089620729e+03,5.017975697825708892e+01
9.908275317311850813e+03,5.018953840343892381e+01
9.908275340534079078e+03,5.019932068999685981e+01
9.908275363756309162e+03,5.020910383942792521e+01
9.908275386978539245e+03,5.021888785093031515e+01
9.908275410200769329e+03,5.022867272446862330e+01
9.908275433422997594e+03,5.023845845924069664e+01
9.908275456645227678e+03,5.024824505674408215e+01
9.908275479867457761e+03,5.025803251617675471e+01
9.908275503089687845e+03,5.026782083750322982e+01
9.908275526311916110e+03,5.027761001992108447e+01
9.908275549534146194e+03,5.028740006492841985e+01
9.908275572756376278e+03,5.029719097172291242e+01
9.908275595978606361e+03,5.030698274026907058e+01
9.908275619200834626e+03,5.031677536976420839e+01
9.908275642423064710e+03,5.032656886170688892e+01
9.908275665645294794e+03,5.033636321529457547e+01
9.908275688867524877e+03,5.034615843049166983e+01
9.908275712089753142e+03,5.035595450649534399e+01
9.908275735311983226e+03,5.036575144480458732e+01
9.908275758534213310e+03,5.037554924461660022e+01
9.908275781756443394e+03,5.038534790589581291e+01
9.908275804978671658e+03,5.039514742783906343e+01
9.908275828200901742e+03,5.040494781194591667e+01
9.908275851423131826e+03,5.041474905741322488e+01
9.908275874645361910e+03,5.042455116420546801e+01
9.908275897867590174e+03,5.043435413151915014e+01
9.908275921089820258e+03,5.044415796085437620e+01
9.908275944312050342e+03,5.045396265140777814e+01
9.908275967534280426e+03,5.046376820314372225e+01
9.908275990756508691e+03,5.047357461525849232e+01
9.908276013978738774e+03,5.048338188925272618e+01
9.908276037200968858e+03,5.049319002432275028e+01
9.908276060423198942e+03,5.050299902043294509e+01
9.908276083645427207e+03,5.051280887677926046e+01
9.908276106867657290e+03,5.052261959486292398e+01
9.908276130089887374e+03,5.053243117387992100e+01
9.908276153312117458e+03,5.054224361379466757e+01
9.908276176534345723e+03,5.055205691380281507e+01
9.908276199756575807e+03,5.056187107540611692e+01
