Time (BJD_TBD - 2450000), F_planets/F_star (ppm)
1.027315701704564526e+04,6.617161645685279154e+02
1.027315710332510753e+04,6.615796686993356843e+02
1.027315718960456798e+04,6.614432238324478703e+02
1.027315727588403024e+04,6.613068299739205713e+02
1.027315736216349069e+04,6.611704871413063529e+02
1.027315744844295295e+04,6.610341953406529001e+02
1.027315753472241340e+04,6.608979545894959529e+02
1.027315762100187567e+04,6.607617648938736465e+02
1.027315770728133612e+04,6.606256262713052365e+02
1.027315779356079656e+04,6.604895387306877410e+02
1.027315787984025883e+04,6.603535022809179509e+02
1.027315796611971928e+04,6.602175169394884051e+02
1.027315805239918154e+04,6.600815827124150701e+02
1.027315813867864199e+04,6.599456996171736591e+02
1.027315822495810426e+04,6.598098676597718395e+02
1.027315831123756470e+04,6.596740868576678167e+02
1.027315839751702697e+04,6.595383572168606179e+02
1.027315848379648742e+04,6.594026787547904860e+02
1.027315857007594968e+04,6.592670514774479216e+02
1.027315865635541013e+04,6.591314754022563420e+02
1.027315874263487058e+04,6.589959505380536484e+02
1.027315882891433284e+04,6.588604768936763776e+02
1.027315891519379329e+04,6.587250544865211168e+02
1.027315900147325556e+04,6.585896833225567661e+02
1.027315908775271600e+04,6.584543634191630872e+02
1.027315917403217827e+04,6.583190947822996577e+02
1.027315926031163872e+04,6.581838774293291863e+02
1.027315934659110098e+04,6.580487113662024967e+02
1.027315943287056143e+04,6.579135966102645625e+02
1.027315951915002370e+04,6.577785331674577947e+02
1.027315960542948415e+04,6.576435210551096588e+02
1.027315969170894459e+04,6.575085602819989390e+02
1.027315977798840686e+04,6.573736508569008947e+02
1.027315986426786731e+04,6.572387927971175259e+02
1.027315995054732957e+04,6.571039861085691882e+02
1.027316003682679002e+04,6.569692308085399191e+02
1.027316012310625229e+04,6.568345269029410929e+02
1.027316020938571273e+04,6.566998744090402624e+02
1.027316029566517500e+04,6.565652733327392525e+02
1.027316038194463545e+04,6.564307236912879944e+02
1.027316046822409771e+04,6.562962254905801274e+02
1.027316055450355816e+04,6.561617787478483024e+02
1.027316064078302043e+04,6.560273834689768364e+02
1.027316072706248087e+04,6.558930396711808726e+02
1.027316081334194132e+04,6.557587473631672310e+02
1.027316089962140359e+04,6.556245065536410266e+02
1.027316098590086403e+04,6.554903172597904586e+02
1.027316107218032630e+04,6.553561794874791531e+02
1.027316115845978675e+04,6.552220932538779152e+02
1.027316124473924901e+04,6.550880585648405940e+02
1.027316133101870946e+04,6.549540754375212828e+02
1.027316141729817173e+04,6.548201438777657586e+02
1.027316150357763217e+04,6.546862639027095838e+02
1.027316158985709444e+04,6.545524355181896681e+02
1.027316167613655489e+04,6.544186587413250891e+02
1.027316176241601534e+04,6.542849335807621856e+02
1.027316184869547760e+04,6.541512600451458184e+02
1.027316193497493805e+04,6.540176381515683488e+02
1.027316202125440032e+04,6.538840679058447449e+02
