Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.013200276182031303e+04,2.739234363040788267e+00
1.013200278259206789e+04,2.739234363040788267e+00
1.013200280336382093e+04,2.739234363040788267e+00
1.013200282413557397e+04,2.739234363040788267e+00
1.013200284490732702e+04,2.739234363040788267e+00
1.013200286567908006e+04,2.739234363040788267e+00
1.013200288645083310e+04,2.739234363040788267e+00
1.013200290722258615e+04,2.739234363040788267e+00
1.013200292799433919e+04,2.739234363040788267e+00
1.013200294876609223e+04,2.739234363040788267e+00
1.013200296953784527e+04,2.739234363040788267e+00
1.013200299030959832e+04,2.739234363040788267e+00
1.013200301108135136e+04,2.739234363040788267e+00
1.013200303185310440e+04,2.739234363040788267e+00
1.013200305262485745e+04,2.739234363040788267e+00
1.013200307339661049e+04,2.739234363040788267e+00
1.013200309416836353e+04,2.739234363040788267e+00
1.013200311494011657e+04,2.739234363040788267e+00
1.013200313571186962e+04,2.739234363040788267e+00
1.013200315648362266e+04,2.739234363040788267e+00
1.013200317725537570e+04,2.739234363040788267e+00
1.013200319802712875e+04,2.739234363040788267e+00
1.013200321879888179e+04,2.739234363040788267e+00
1.013200323957063483e+04,2.739234363040788267e+00
1.013200326034238788e+04,2.739234363040788267e+00
1.013200328111414092e+04,2.739234363040788267e+00
1.013200330188589396e+04,2.739234363040788267e+00
1.013200332265764700e+04,2.739234363040788267e+00
1.013200334342940005e+04,2.739234363040788267e+00
1.013200336420115309e+04,2.739234363040788267e+00
1.013200338497290613e+04,2.739234363040788267e+00
1.013200340574465918e+04,2.739234363040788267e+00
1.013200342651641404e+04,2.739234363040788267e+00
1.013200344728816708e+04,2.739234363040788267e+00
1.013200346805992012e+04,2.739234363040788267e+00
1.013200348883167317e+04,2.739234363040788267e+00
1.013200350960342621e+04,2.739234363040788267e+00
1.013200353037517925e+04,2.739234363040788267e+00
1.013200355114693230e+04,2.739234363040788267e+00
1.013200357191868534e+04,2.739234363040788267e+00
1.013200359269043838e+04,2.739234363040788267e+00
1.013200361346219142e+04,2.739234363040788267e+00
1.013200363423394447e+04,2.739234363040788267e+00
1.013200365500569751e+04,2.739234363040788267e+00
1.013200367577745055e+04,2.739234363040788267e+00
1.013200369654920360e+04,2.739234363040788267e+00
1.013200371732095664e+04,2.739234363040788267e+00
1.013200373809270968e+04,2.739234363040788267e+00
1.013200375886446272e+04,2.739234363040788267e+00
1.013200377963621577e+04,2.739234363040788267e+00
1.013200380040796881e+04,2.739234363040788267e+00
1.013200382117972185e+04,2.739234363040788267e+00
1.013200384195147490e+04,2.739234363040788267e+00
1.013200386272322794e+04,2.739234363040788267e+00
1.013200388349498098e+04,2.739234363040788267e+00
1.013200390426673403e+04,2.739234363040788267e+00
1.013200392503848707e+04,2.739234363040788267e+00
1.013200394581024011e+04,2.739234363040788267e+00
1.013200396658199315e+04,2.739234363040788267e+00
1.013200398735374620e+04,2.739234363040788267e+00
1.013200400812549924e+04,2.739234363040788267e+00
1.013200402889725228e+04,2.739234363040788267e+00
1.013200404966900533e+04,2.739234363040788267e+00
1.013200407044076019e+04,2.739234363040788267e+00
1.013200409121251323e+04,2.739234363040788267e+00
1.013200411198426627e+04,2.739234363040788267e+00
1.013200413275601932e+04,2.739234363040788267e+00
1.013200415352777236e+04,2.739234363040788267e+00
1.013200417429952540e+04,2.739234363040788267e+00
1.013200419507127845e+04,2.739234363040788267e+00
1.013200421584303149e+04,2.739234363040788267e+00
1.013200423661478453e+04,2.739234363040788267e+00
1.013200425738653757e+04,2.739234363040788267e+00
1.013200427815829062e+04,2.739234363040788267e+00
1.013200429893004366e+04,2.739234363040788267e+00
1.013200431970179670e+04,2.739234363040788267e+00
1.013200434047354975e+04,2.739234363040788267e+00
1.013200436124530279e+04,2.739234363040788267e+00
1.013200438201705583e+04,2.739234363040788267e+00
1.013200440278880887e+04,2.739234363040788267e+00
1.013200442356056192e+04,2.739234363040788267e+00
1.013200444433231496e+04,2.739234363040788267e+00
1.013200446510406800e+04,2.739234363040788267e+00
1.013200448587582105e+04,2.739234363040788267e+00
1.013200450664757409e+04,2.739234363040788267e+00
1.013200452741932713e+04,2.739234363040788267e+00
1.013200454819108018e+04,2.739234363040788267e+00
1.013200456896283322e+04,2.739234363040788267e+00
1.013200458973458626e+04,2.739234363040788267e+00
1.013200461050633930e+04,2.739234363040788267e+00
1.013200463127809235e+04,2.739234363040788267e+00
1.013200465204984539e+04,2.739234363040788267e+00
1.013200467282159843e+04,2.739234363040788267e+00
1.013200469359335148e+04,2.739234363040788267e+00
1.013200471436510452e+04,2.739234363040788267e+00
1.013200473513685938e+04,2.739234363040788267e+00
1.013200475590861242e+04,2.739234363040788267e+00
1.013200477668036547e+04,2.739234363040788267e+00
1.013200479745211851e+04,2.739234363040788267e+00
1.013200481822387155e+04,2.739234363040788267e+00
1.013200483899562460e+04,2.739234363040788267e+00
1.013200485976737764e+04,2.739234363040788267e+00
1.013200488053913068e+04,2.739234363040788267e+00
1.013200490131088372e+04,2.739234363040788267e+00
1.013200492208263677e+04,2.739234363040788267e+00
1.013200494285438981e+04,2.739234363040788267e+00
1.013200496362614285e+04,2.739234363040788267e+00
1.013200498439789590e+04,2.739234363040788267e+00
1.013200500516964894e+04,2.739234363040788267e+00
1.013200502594140198e+04,2.739234363040788267e+00
1.013200504671315502e+04,2.739234363040788267e+00
1.013200506748490807e+04,2.739234363040788267e+00
1.013200508825666111e+04,2.739234363040788267e+00
1.013200510902841415e+04,2.739234363040788267e+00
1.013200512980016720e+04,2.739234363040788267e+00
1.013200515057192024e+04,2.739234363040788267e+00
1.013200517134367328e+04,2.739234363040788267e+00
1.013200519211542633e+04,2.739234363040788267e+00
1.013200521288717937e+04,2.739234363040788267e+00
1.013200523365893241e+04,2.739234363040788267e+00
1.013200525443068545e+04,2.739234363040788267e+00
1.013200527520243850e+04,2.739234363040788267e+00
1.013200529597419154e+04,2.739234363040788267e+00
1.013200531674594458e+04,2.739234363040788267e+00
1.013200533751769763e+04,2.739234363040788267e+00
1.013200535828945067e+04,2.739234363040788267e+00
1.013200537906120553e+04,2.739234363040788267e+00
1.013200539983295857e+04,2.739234363040788267e+00
1.013200542060471162e+04,2.739234363040788267e+00
1.013200544137646466e+04,2.739234363040788267e+00
1.013200546214821770e+04,2.739234363040788267e+00
1.013200548291997075e+04,2.739234363040788267e+00
1.013200550369172379e+04,2.739234363040788267e+00
1.013200552446347683e+04,2.739234363040788267e+00
1.013200554523522987e+04,2.739234363040788267e+00
1.013200556600698292e+04,2.739234363040788267e+00
1.013200558677873596e+04,2.739234363040788267e+00
1.013200560755048900e+04,2.739234363040788267e+00
1.013200562832224205e+04,2.739234363040788267e+00
1.013200564909399509e+04,2.739234363040788267e+00
1.013200566986574813e+04,2.739234363040788267e+00
1.013200569063750117e+04,2.739234363040788267e+00
1.013200571140925422e+04,2.739234363040788267e+00
1.013200573218100726e+04,2.739234363040788267e+00
1.013200575295276030e+04,2.739234363040788267e+00
1.013200577372451335e+04,2.739234363040788267e+00
1.013200579449626639e+04,2.739234363040788267e+00
1.013200581526801943e+04,2.739234363040788267e+00
1.013200583603977248e+04,2.739234363040788267e+00
1.013200585681152552e+04,2.739234363040788267e+00
1.013200587758327856e+04,2.739234363040788267e+00
1.013200589835503160e+04,2.739234363040788267e+00
1.013200591912678465e+04,2.739234363040788267e+00
1.013200593989853769e+04,2.739234363040788267e+00
1.013200596067029073e+04,2.739234363040788267e+00
1.013200598144204378e+04,2.739234363040788267e+00
1.013200600221379682e+04,2.739234363040788267e+00
1.013200602298555168e+04,2.739234363040788267e+00
1.013200604375730472e+04,2.739234363040788267e+00
1.013200606452905777e+04,2.739234363040788267e+00
1.013200608530081081e+04,2.739234363040788267e+00
1.013200610607256385e+04,2.739234363040788267e+00
1.013200612684431690e+04,2.739234363040788267e+00
1.013200614761606994e+04,2.739234363040788267e+00
1.013200616838782298e+04,2.739234363040788267e+00
1.013200618915957602e+04,2.739234363040788267e+00
1.013200620993132907e+04,2.739234363040788267e+00
1.013200623070308211e+04,2.739234363040788267e+00
1.013200625147483515e+04,2.739234363040788267e+00
1.013200627224658820e+04,2.739234363040788267e+00
1.013200629301834124e+04,2.739234363040788267e+00
1.013200631379009428e+04,2.739234363040788267e+00
1.013200633456184732e+04,2.739234363040788267e+00
1.013200635533360037e+04,2.739234363040788267e+00
1.013200637610535341e+04,2.739234363040788267e+00
1.013200639687710645e+04,2.739234363040788267e+00
1.013200641764885950e+04,2.739234363040788267e+00
1.013200643842061254e+04,2.739234363040788267e+00
