Time (BJD_TBD - 2450000), F_b/F_star (ppm)
9.882506944753471544e+03,7.263337964692886999e+02
9.882506962769160964e+03,7.263571072183228807e+02
9.882506980784852203e+03,7.263804163051956948e+02
9.882506998800543442e+03,7.264037237274228573e+02
9.882507016816232863e+03,7.264270294825203109e+02
9.882507034831924102e+03,7.264503335750633823e+02
9.882507052847613522e+03,7.264736360002158335e+02
9.882507070863304762e+03,7.264969367625517407e+02
9.882507088878994182e+03,7.265202358572354342e+02
9.882507106894685421e+03,7.265435332888413313e+02
9.882507124910376660e+03,7.265668290548856021e+02
9.882507142926066081e+03,7.265901231528860080e+02
9.882507160941757320e+03,7.266134155874154885e+02
9.882507178957446740e+03,7.266367063536397382e+02
9.882507196973137980e+03,7.266599954561312416e+02
9.882507214988827400e+03,7.266832828900566028e+02
9.882507233004518639e+03,7.267065686599873970e+02
9.882507251020209878e+03,7.267298527634416132e+02
9.882507269035899299e+03,7.267531351979381498e+02
9.882507287051590538e+03,7.267764159680475586e+02
9.882507305067279958e+03,7.267996950689380355e+02
9.882507323082971197e+03,7.268229725051797914e+02
9.882507341098660618e+03,7.268462482719415902e+02
9.882507359114351857e+03,7.268695223737929609e+02
9.882507377130043096e+03,7.268927948082533703e+02
9.882507395145732517e+03,7.269160655728422853e+02
9.882507413161423756e+03,7.269393346721283251e+02
9.882507431177113176e+03,7.269626021012823003e+02
9.882507449192804415e+03,7.269858678648720343e+02
9.882507467208493836e+03,7.270091319580685649e+02
9.882507485224185075e+03,7.270323943854393747e+02
9.882507503239876314e+03,7.270556551445047262e+02
9.882507521255565734e+03,7.270789142327859054e+02
9.882507539271256974e+03,7.271021716548489167e+02
9.882507557286946394e+03,7.271254274058669580e+02
9.882507575302637633e+03,7.271486814904054654e+02
9.882507593318327054e+03,7.271719339036383190e+02
9.882507611334018293e+03,7.271951846501302725e+02
9.882507629349709532e+03,7.272184337274031805e+02
9.882507647365398952e+03,7.272416811329792381e+02
9.882507665381090192e+03,7.272649268714224036e+02
9.882507683396779612e+03,7.272881709379082622e+02
9.882507701412470851e+03,7.273114133369999763e+02
9.882507719428160271e+03,7.273346540638739270e+02
9.882507737443851511e+03,7.273578931230920261e+02
9.882507755459542750e+03,7.273811305121778332e+02
9.882507773475232170e+03,7.274043662286550216e+02
9.882507791490923410e+03,7.274276002770849345e+02
9.882507809506612830e+03,7.274508326526455448e+02
9.882507827522304069e+03,7.274740633598978548e+02
9.882507845537993489e+03,7.274972923940202918e+02
9.882507863553684729e+03,7.275205197595732898e+02
9.882507881569375968e+03,7.275437454540810904e+02
9.882507899585065388e+03,7.275669694750682766e+02
9.882507917600756628e+03,7.275901918270947135e+02
9.882507935616446048e+03,7.276134125053401931e+02
9.882507953632137287e+03,7.276366315143635575e+02
9.882507971647826707e+03,7.276598488493459627e+02
9.882507989663517947e+03,7.276830645148452277e+02
9.882508007679209186e+03,7.277062785083867311e+02
9.882508025694898606e+03,7.277294908274968748e+02
9.882508043710589845e+03,7.277527014767324545e+02
9.882508061726279266e+03,7.277759104512762178e+02
9.882508079741970505e+03,7.277991177556847333e+02
9.882508097757659925e+03,7.278223233851412033e+02
9.882508115773351165e+03,7.278455273442015141e+02
9.882508133789042404e+03,7.278687296303922949e+02
9.882508151804731824e+03,7.278919302412407433e+02
9.882508169820423063e+03,7.279151291813018361e+02
9.882508187836112484e+03,7.279383264457605947e+02
9.882508205851803723e+03,7.279615220391713137e+02
9.882508223867493143e+03,7.279847159567192421e+02
9.882508241883184382e+03,7.280079082029586743e+02
9.882508259898875622e+03,7.280310987754170355e+02
