Time (BJD_TBD - 2450000), F_star + F_b (mJy)
1.062603506933339668e+04,2.652887393278494432e+00
1.062603508801119096e+04,2.652887393278494432e+00
1.062603510668898525e+04,2.652887393278494432e+00
1.062603512536677772e+04,2.652887393278494432e+00
1.062603514404457201e+04,2.652887393278494432e+00
1.062603516272236629e+04,2.652887393278494432e+00
1.062603518140015876e+04,2.652887393278494432e+00
1.062603520007795305e+04,2.652887393278494432e+00
1.062603521875574734e+04,2.652887393278494432e+00
1.062603523743353981e+04,2.652887393278494432e+00
1.062603525611133409e+04,2.652887393278494432e+00
1.062603527478912838e+04,2.652887393278494432e+00
1.062603529346692085e+04,2.652887393278494432e+00
1.062603531214471514e+04,2.652887393278494432e+00
1.062603533082250942e+04,2.652887393278494432e+00
1.062603534950030371e+04,2.652887393278494432e+00
1.062603536817809618e+04,2.652887393278494432e+00
1.062603538685589047e+04,2.652887393278494432e+00
1.062603540553368475e+04,2.652887393278494432e+00
1.062603542421147722e+04,2.652887393278494432e+00
1.062603544288927151e+04,2.652887393278494432e+00
1.062603546156706579e+04,2.652887393278494432e+00
1.062603548024485826e+04,2.652887393278494432e+00
1.062603549892265255e+04,2.652887393278494432e+00
1.062603551760044684e+04,2.652887393278494432e+00
1.062603553627823931e+04,2.652887393278494432e+00
1.062603555495603359e+04,2.652887393278494432e+00
1.062603557363382788e+04,2.652887393278494432e+00
1.062603559231162035e+04,2.652887393278494432e+00
1.062603561098941464e+04,2.652887393278494432e+00
1.062603562966720892e+04,2.652887393278494432e+00
1.062603564834500139e+04,2.652887393278494432e+00
1.062603566702279568e+04,2.652887393278494432e+00
1.062603568570058997e+04,2.652887393278494432e+00
1.062603570437838243e+04,2.652887393278494432e+00
1.062603572305617672e+04,2.652887393278494432e+00
1.062603574173397101e+04,2.652887393278494432e+00
1.062603576041176348e+04,2.652887393278494432e+00
1.062603577908955776e+04,2.652887393278494432e+00
1.062603579776735205e+04,2.652887393278494432e+00
1.062603581644514634e+04,2.652887393278494432e+00
1.062603583512293881e+04,2.652887393278494432e+00
1.062603585380073309e+04,2.652887393278494432e+00
1.062603587247852738e+04,2.652887393278494432e+00
1.062603589115631985e+04,2.652887393278494432e+00
1.062603590983411414e+04,2.652887393278494432e+00
1.062603592851190842e+04,2.652887393278494432e+00
1.062603594718970089e+04,2.652887393278494432e+00
1.062603596586749518e+04,2.652887393278494432e+00
1.062603598454528947e+04,2.652887393278494432e+00
1.062603600322308193e+04,2.652887393278494432e+00
1.062603602190087622e+04,2.652887393278494432e+00
1.062603604057867051e+04,2.652887393278494432e+00
1.062603605925646298e+04,2.652887393278494432e+00
1.062603607793425726e+04,2.652887393278494432e+00
1.062603609661205155e+04,2.652887393278494432e+00
1.062603611528984402e+04,2.652887393278494432e+00
1.062603613396763831e+04,2.652887393278494432e+00
1.062603615264543259e+04,2.652887393278494432e+00
1.062603617132322506e+04,2.652887393278494432e+00
1.062603619000101935e+04,2.652887393278494432e+00
1.062603620867881364e+04,2.652887393278494432e+00
1.062603622735660610e+04,2.652887393278494432e+00
1.062603624603440039e+04,2.652887393278494432e+00
1.062603626471219468e+04,2.652887393278494432e+00
1.062603628338998897e+04,2.652887393278494432e+00
1.062603630206778143e+04,2.652887393278494432e+00
1.062603632074557572e+04,2.652887393278494432e+00
1.062603633942337001e+04,2.652887393278494432e+00
1.062603635810116248e+04,2.652887393278494432e+00
1.062603637677895676e+04,2.652887393278494432e+00
1.062603639545675105e+04,2.652887393278494432e+00
1.062603641413454352e+04,2.652887393278494432e+00
1.062603643281233781e+04,2.652887393278494432e+00
1.062603645149013209e+04,2.652887393278494432e+00
1.062603647016792456e+04,2.652887393278494432e+00
1.062603648884571885e+04,2.652887393278494432e+00
1.062603650752351314e+04,2.652887393278494432e+00
1.062603652620130561e+04,2.652887393278494432e+00
1.062603654487909989e+04,2.652887393278494432e+00
1.062603656355689418e+04,2.652887393278494432e+00
1.062603658223468665e+04,2.652887393278494432e+00
1.062603660091248094e+04,2.652887393278494432e+00
1.062603661959027522e+04,2.652887393278494432e+00
1.062603663826806769e+04,2.652887393278494432e+00
1.062603665694586198e+04,2.652887393278494432e+00
1.062603667562365627e+04,2.652887393278494432e+00
1.062603669430144873e+04,2.652887393278494432e+00
1.062603671297924302e+04,2.652887393278494432e+00
1.062603673165703731e+04,2.652887393278494432e+00
1.062603675033483159e+04,2.652887393278494432e+00
1.062603676901262406e+04,2.652887393278494432e+00
1.062603678769041835e+04,2.652887393278494432e+00
1.062603680636821264e+04,2.652887393278494432e+00
1.062603682504600511e+04,2.652887393278494432e+00
1.062603684372379939e+04,2.652887393278494432e+00
1.062603686240159368e+04,2.652887393278494432e+00
1.062603688107938615e+04,2.652887393278494432e+00
1.062603689975718044e+04,2.652887393278494432e+00
1.062603691843497472e+04,2.652887393278494432e+00
1.062603693711276719e+04,2.652887393278494432e+00
1.062603695579056148e+04,2.652887393278494432e+00
1.062603697446835577e+04,2.652887393278494432e+00
1.062603699314614823e+04,2.652887393278494432e+00
1.062603701182394252e+04,2.652887393278494432e+00
1.062603703050173681e+04,2.652887393278494432e+00
1.062603704917952928e+04,2.652887393278494432e+00
1.062603706785732356e+04,2.652887393278494432e+00
1.062603708653511785e+04,2.652887393278494432e+00
1.062603710521291032e+04,2.652887393278494432e+00
1.062603712389070461e+04,2.652887393278494432e+00
1.062603714256849889e+04,2.652887393278494432e+00
1.062603716124629136e+04,2.652887393278494432e+00
1.062603717992408565e+04,2.652887393278494432e+00
1.062603719860187994e+04,2.652887393278494432e+00
1.062603721727967422e+04,2.652887393278494432e+00
1.062603723595746669e+04,2.652887393278494432e+00
1.062603725463526098e+04,2.652887393278494432e+00
1.062603727331305527e+04,2.652887393278494432e+00
1.062603729199084773e+04,2.652887393278494432e+00
1.062603731066864202e+04,2.652887393278494432e+00
1.062603732934643631e+04,2.652887393278494432e+00
1.062603734802422878e+04,2.652887393278494432e+00
1.062603736670202306e+04,2.652887393278494432e+00
1.062603738537981735e+04,2.652887393278494432e+00
1.062603740405760982e+04,2.652887393278494432e+00
1.062603742273540411e+04,2.652887393278494432e+00
1.062603744141319839e+04,2.652887393278494432e+00
1.062603746009099086e+04,2.652887393278494432e+00
1.062603747876878515e+04,2.652887393278494432e+00
1.062603749744657944e+04,2.652887393278494432e+00
1.062603751612437190e+04,2.652887393278494432e+00
1.062603753480216619e+04,2.652887393278494432e+00
1.062603755347996048e+04,2.652887393278494432e+00
1.062603757215775295e+04,2.652887393278494432e+00
1.062603759083554723e+04,2.652887393278494432e+00
1.062603760951334152e+04,2.652887393278494432e+00
1.062603762819113399e+04,2.652887393278494432e+00
1.062603764686892828e+04,2.652887393278494432e+00
1.062603766554672256e+04,2.652887393278494432e+00
1.062603768422451685e+04,2.652887393278494432e+00
1.062603770290230932e+04,2.652887393278494432e+00
1.062603772158010361e+04,2.652887393278494432e+00
1.062603774025789789e+04,2.652887393278494432e+00
1.062603775893569036e+04,2.652887393278494432e+00
1.062603777761348465e+04,2.652887393278494432e+00
1.062603779629127894e+04,2.652887393278494432e+00
1.062603781496907141e+04,2.652887393278494432e+00
1.062603783364686569e+04,2.652887393278494432e+00
1.062603785232465998e+04,2.652887393278494432e+00
1.062603787100245245e+04,2.652887393278494432e+00
1.062603788968024674e+04,2.652887393278494432e+00
1.062603790835804102e+04,2.652887393278494432e+00
1.062603792703583349e+04,2.652887393278494432e+00
1.062603794571362778e+04,2.652887393278494432e+00
1.062603796439142207e+04,2.652887393278494432e+00
1.062603798306921453e+04,2.652887393278494432e+00
1.062603800174700882e+04,2.652887393278494432e+00
1.062603802042480311e+04,2.652887393278494432e+00
1.062603803910259558e+04,2.652887393278494432e+00
1.062603805778038986e+04,2.652887393278494432e+00
1.062603807645818415e+04,2.652887393278494432e+00
1.062603809513597662e+04,2.652887393278494432e+00
1.062603811381377091e+04,2.652887393278494432e+00
1.062603813249156519e+04,2.652887393278494432e+00
1.062603815116935948e+04,2.652887393278494432e+00
1.062603816984715195e+04,2.652887393278494432e+00
1.062603818852494624e+04,2.652887393278494432e+00
1.062603820720274052e+04,2.652887393278494432e+00
1.062603822588053299e+04,2.652887393278494432e+00
1.062603824455832728e+04,2.652887393278494432e+00
1.062603826323612157e+04,2.652887393278494432e+00
1.062603828191391403e+04,2.652887393278494432e+00
1.062603830059170832e+04,2.652887393278494432e+00
1.062603831926950261e+04,2.652887393278494432e+00
1.062603833794729508e+04,2.652887393278494432e+00
1.062603835662508936e+04,2.652887393278494432e+00
1.062603837530288365e+04,2.652887393278494432e+00
1.062603839398067612e+04,2.652887393278494432e+00
1.062603841265847041e+04,2.652887393278494432e+00
1.062603843133626469e+04,2.652887393278494432e+00
1.062603845001405716e+04,2.652887393278494432e+00
1.062603846869185145e+04,2.652887393278494432e+00
1.062603848736964574e+04,2.652887393278494432e+00
1.062603850604743820e+04,2.652887393278494432e+00
1.062603852472523249e+04,2.652887393278494432e+00
1.062603854340302678e+04,2.652887393278494432e+00
1.062603856208081925e+04,2.652887393278494432e+00
1.062603858075861353e+04,2.652887393278494432e+00
1.062603859943640782e+04,2.652887393278494432e+00
1.062603861811420211e+04,2.652887393278494432e+00
1.062603863679199458e+04,2.652887393278494432e+00
1.062603865546978886e+04,2.652887393278494432e+00
1.062603867414758315e+04,2.652887393278494432e+00
1.062603869282537562e+04,2.652887393278494432e+00
1.062603871150316991e+04,2.652887393278494432e+00
1.062603873018096419e+04,2.652887393278494432e+00
1.062603874885875666e+04,2.652887393278494432e+00
1.062603876753655095e+04,2.652887393278494432e+00
1.062603878621434524e+04,2.652887393278494432e+00
1.062603880489213770e+04,2.652887393278494432e+00
1.062603882356993199e+04,2.652887393278494432e+00
1.062603884224772628e+04,2.652887393278494432e+00
1.062603886092551875e+04,2.652887393278494432e+00
1.062603887960331303e+04,2.652887393278494432e+00
1.062603889828110732e+04,2.652887393278494432e+00
1.062603891695889979e+04,2.652887393278494432e+00
1.062603893563669408e+04,2.652887393278494432e+00
1.062603895431448836e+04,2.652887393278494432e+00
1.062603897299228083e+04,2.652887393278494432e+00
1.062603899167007512e+04,2.652887393278494432e+00
1.062603901034786941e+04,2.652887393278494432e+00
1.062603902902566188e+04,2.652887393278494432e+00
1.062603904770345616e+04,2.652887393278494432e+00
1.062603906638125045e+04,2.652887393278494432e+00
1.062603908505904474e+04,2.652887393278494432e+00
1.062603910373683721e+04,2.652887393278494432e+00
1.062603912241463149e+04,2.652887393278494432e+00
1.062603914109242578e+04,2.652887393278494432e+00
1.062603915977021825e+04,2.652887393278494432e+00
1.062603917844801254e+04,2.652887393278494432e+00
1.062603919712580682e+04,2.652887393278494432e+00
1.062603921580359929e+04,2.652887393278494432e+00
1.062603923448139358e+04,2.652887393278494432e+00
1.062603925315918787e+04,2.652887393278494432e+00
1.062603927183698033e+04,2.652887393278494432e+00
1.062603929051477462e+04,2.652887393278494432e+00
1.062603930919256891e+04,2.652887393278494432e+00
1.062603932787036138e+04,2.652887393278494432e+00
1.062603934654815566e+04,2.652887393278494432e+00
1.062603936522594995e+04,2.652887393278494432e+00
1.062603938390374242e+04,2.652887393278494432e+00
1.062603940258153671e+04,2.652887393278494432e+00
1.062603942125933099e+04,2.652887393278494432e+00
1.062603943993712346e+04,2.652887393278494432e+00
1.062603945861491775e+04,2.652887393278494432e+00
1.062603947729271204e+04,2.652887393278494432e+00
1.062603949597050450e+04,2.652887393278494432e+00
1.062603951464829879e+04,2.652887393278494432e+00
1.062603953332609308e+04,2.652887393278494432e+00
1.062603955200388737e+04,2.652887393278494432e+00
1.062603957068167983e+04,2.652887393278494432e+00
1.062603958935947412e+04,2.652887393278494432e+00
1.062603960803726841e+04,2.652887393278494432e+00
1.062603962671506088e+04,2.652887393278494432e+00
1.062603964539285516e+04,2.652887393278494432e+00
1.062603966407064945e+04,2.652887393278494432e+00
1.062603968274844192e+04,2.652887393278494432e+00
1.062603970142623621e+04,2.652887393278494432e+00
1.062603972010403049e+04,2.652887393278494432e+00
1.062603973878182296e+04,2.652887393278494432e+00
1.062603975745961725e+04,2.652887393278494432e+00
1.062603977613741154e+04,2.652887393278494432e+00
1.062603979481520400e+04,2.652887393278494432e+00
1.062603981349299829e+04,2.652887393278494432e+00
