Time (BJD_TBD - 2450000), F_d/F_star (ppm)
1.014846402614324506e+04,5.995344150803707389e-02
1.014846404701801657e+04,6.006254436558327442e-02
1.014846406789278990e+04,6.017174638319896379e-02
1.014846408876756323e+04,6.028104755127550174e-02
1.014846410964233473e+04,6.039044786017273153e-02
1.014846413051710806e+04,6.049994732881391890e-02
1.014846415139188139e+04,6.060954594757991115e-02
1.014846417226665289e+04,6.071924370678855737e-02
1.014846419314142622e+04,6.082904062543662005e-02
1.014846421401619955e+04,6.093893669385244682e-02
1.014846423489097106e+04,6.104893190233288275e-02
1.014846425576574438e+04,6.115902626994819402e-02
1.014846427664051589e+04,6.126921977736558833e-02
1.014846429751528922e+04,6.137951244369733300e-02
1.014846431839006254e+04,6.148990425922977454e-02
1.014846433926483405e+04,6.160039521420725139e-02
1.014846436013960738e+04,6.171098532776303491e-02
1.014846438101438071e+04,6.182167459017298000e-02
1.014846440188915221e+04,6.193246299164991558e-02
1.014846442276392554e+04,6.204335055139012511e-02
1.014846444363869705e+04,6.215433724995579612e-02
1.014846446451347038e+04,6.226542310657472157e-02
1.014846448538824370e+04,6.237660811144922490e-02
1.014846450626301521e+04,6.248789225477114490e-02
1.014846452713778854e+04,6.259927555583127967e-02
1.014846454801256186e+04,6.271075800478996543e-02
1.014846456888733337e+04,6.282233959182850769e-02
1.014846458976210670e+04,6.293402033625872249e-02
1.014846461063688002e+04,6.304580022826195007e-02
1.014846463151165153e+04,6.315767925795649773e-02
1.014846465238642486e+04,6.326965744471718667e-02
1.014846467326119637e+04,6.338173476892766667e-02
1.014846469413596969e+04,6.349391124998375602e-02
1.014846471501074302e+04,6.360618687802477300e-02
1.014846473588551453e+04,6.371856164312704462e-02
1.014846475676028786e+04,6.383103556475988594e-02
1.014846477763506118e+04,6.394360863301011555e-02
1.014846479850983269e+04,6.405628083794355498e-02
1.014846481938460602e+04,6.416905219908201896e-02
1.014846484025937934e+04,6.428192270649132900e-02
1.014846486113415085e+04,6.439489235019529856e-02
1.014846488200892418e+04,6.450796114976826978e-02
1.014846490288369569e+04,6.462112908539437151e-02
1.014846492375846901e+04,6.473439617666892909e-02
1.014846494463324234e+04,6.484776241361575599e-02
1.014846496550801385e+04,6.496122778623768246e-02
1.014846498638278717e+04,6.507479231417202803e-02
1.014846500725756050e+04,6.518845598742160907e-02
1.014846502813233201e+04,6.530221879595773937e-02
1.014846504900710534e+04,6.541608075948074363e-02
1.014846506988187866e+04,6.553004186796193564e-02
1.014846509075665017e+04,6.564410211135163209e-02
1.014846511163142350e+04,6.575826150938167414e-02
1.014846513250619500e+04,6.587252004205766676e-02
1.014846515338096833e+04,6.598687772917449790e-02
1.014846517425574166e+04,6.610133456065094004e-02
1.014846519513051317e+04,6.621589052637429085e-02
1.014846521600528649e+04,6.633054564620242954e-02
1.014846523688005982e+04,6.644529991003314540e-02
1.014846525775483133e+04,6.656015330772223348e-02
1.014846527862960465e+04,6.667510585918007271e-02
1.014846529950437798e+04,6.679015755428342749e-02
1.014846532037914949e+04,6.690530838286710968e-02
1.014846534125392282e+04,6.702055836487300078e-02
1.014846536212869432e+04,6.713590748010718479e-02
1.014846538300346765e+04,6.725135574853254028e-02
1.014846540387824098e+04,6.736690316000486234e-02
1.014846542475301248e+04,6.748254970430642152e-02
1.014846544562778581e+04,6.759829540147362092e-02
1.014846546650255914e+04,6.771414024130974207e-02
1.014846548737733065e+04,6.783008421358655005e-02
1.014846550825210397e+04,6.794612733840346697e-02
1.014846552912687548e+04,6.806226959538805299e-02
1.014846555000164881e+04,6.817851100468169667e-02
1.014846557087642213e+04,6.829485155603519375e-02
1.014846559175119364e+04,6.841129123916780963e-02
1.014846561262596697e+04,6.852783007427346029e-02
1.014846563350074030e+04,6.864446805107139726e-02
1.014846565437551180e+04,6.876120515927042209e-02
1.014846567525028513e+04,6.887804141908543398e-02
1.014846569612505846e+04,6.899497682023569833e-02
1.014846571699982997e+04,6.911201135237750315e-02
1.014846573787460329e+04,6.922914503580974988e-02
1.014846575874937480e+04,6.934637784997098320e-02
1.014846577962414813e+04,6.946370981519164878e-02
1.014846580049892145e+04,6.958114092111748750e-02
1.014846582137369296e+04,6.969867115739428187e-02
1.014846584224846629e+04,6.981630054438395239e-02
1.014846586312323961e+04,6.993402907170076510e-02
1.014846588399801112e+04,7.005185672897998317e-02
1.014846590487278445e+04,7.016978353661504353e-02
1.014846592574755778e+04,7.028780948423068997e-02
1.014846594662232928e+04,7.040593456138870276e-02
1.014846596749710261e+04,7.052415878856650722e-02
1.014846598837187412e+04,7.064248214503464351e-02
1.014846600924664745e+04,7.076090465129153406e-02
1.014846603012142077e+04,7.087942629688845364e-02
1.014846605099619228e+04,7.099804707138715476e-02
1.014846607187096561e+04,7.111676699531757628e-02
1.014846609274573893e+04,7.123558605823097911e-02
1.014846611362051044e+04,7.135450424962611060e-02
1.014846613449528377e+04,7.147352159011693962e-02
1.014846615537005709e+04,7.159263806921269124e-02
1.014846617624482860e+04,7.171185367640162123e-02
1.014846619711960193e+04,7.183116843232920101e-02
1.014846621799437344e+04,7.195058231607692756e-02
1.014846623886914676e+04,7.207009534833228037e-02
1.014846625974392009e+04,7.218970751857298196e-02
1.014846628061869160e+04,7.230941881622429679e-02
1.014846630149346493e+04,7.242922926203666789e-02
1.014846632236823825e+04,7.254913884545637071e-02
1.014846634324300976e+04,7.266914755588763097e-02
1.014846636411778309e+04,7.278925541412291367e-02
1.014846638499255641e+04,7.290946240958746938e-02
1.014846640586732792e+04,7.302976853166452675e-02
1.014846642674210125e+04,7.315017380119907819e-02
1.014846644761687276e+04,7.327067819707309970e-02
1.014846646849164608e+04,7.339128174016308626e-02
1.014846648936641941e+04,7.351198441985228038e-02
1.014846651024119092e+04,7.363278622547138330e-02
1.014846653111596424e+04,7.375368717795992290e-02
1.014846655199073757e+04,7.387468726665909202e-02
1.014846657286550908e+04,7.399578648089966126e-02
1.014846659374028241e+04,7.411698484164208622e-02
1.014846661461505573e+04,7.423828233821713751e-02
1.014846663548982724e+04,7.435967895991349441e-02
1.014846665636460057e+04,7.448117472776520642e-02
1.014846667723937207e+04,7.460276962047571181e-02
1.014846669811414540e+04,7.472446365910001553e-02
1.014846671898891873e+04,7.484625683291636078e-02
1.014846673986369024e+04,7.496814913117144652e-02
1.014846676073846356e+04,7.509014057499378836e-02
1.014846678161323689e+04,7.521223115361962142e-02
1.014846680248800840e+04,7.533442085628516693e-02
1.014846682336278172e+04,7.545670970415041534e-02
1.014846684423755323e+04,7.557909767577183913e-02
1.014846686511232656e+04,7.570158479236195614e-02
